tau,tau_prime,method,trial,attempt,cos_sim
0.0,0.0,multiframe_map,0,1,0.36524607957766597
0.0,0.0,multiframe_map,0,2,0.2669076195833389
0.0,0.0,multiframe_map,0,3,0.037623012518060765
0.0,0.0,multiframe_map,0,4,0.7266812642726325
0.0,0.0,multiframe_map,0,5,0.7266812642726325
0.0,0.0,multiframe_map,0,6,0.400788661590101
0.0,0.0,multiframe_map,0,7,0.06712280529718181
0.0,0.0,multiframe_map,0,8,0.310237212116526
0.0,0.0,multiframe_map,0,9,0.310237212116526
0.0,0.0,multiframe_map,0,10,0.31015198456609283
0.0,0.0,multiframe_map,0,11,0.31015198456609283
0.0,0.0,multiframe_map,0,12,0.5630442772746473
0.0,0.0,multiframe_map,0,13,0.5630442772746473
0.0,0.0,multiframe_map,0,14,0.5628943019442707
0.0,0.0,multiframe_map,0,15,0.5155957647581407
0.0,0.0,multiframe_map,0,16,0.13859157600193003
0.0,0.0,multiframe_map,0,17,0.6983891696807697
0.0,0.0,multiframe_map,0,18,0.6983891696807697
0.0,0.0,multiframe_map,0,19,0.10692919148683867
0.0,0.0,multiframe_map,0,20,0.10692919148683869
0.0,0.0,multiframe_map,0,21,0.26887193039350965
0.0,0.0,multiframe_map,0,22,0.3315815396652677
0.0,0.0,multiframe_map,0,23,0.668594020620263
0.0,0.0,multiframe_map,0,24,0.6784032205800767
0.0,0.0,multiframe_map,0,25,0.046237154167947485
0.0,0.0,multiframe_map,0,26,0.5141416713540135
0.0,0.0,multiframe_map,0,27,0.34669821217480024
0.0,0.0,multiframe_map,0,28,0.3222364631580246
0.0,0.0,multiframe_map,0,29,0.056789396969589276
0.0,0.0,multiframe_map,0,30,0.056789396969589276
0.0,0.0,multiframe_map,0,31,0.056789396969589276
0.0,0.0,multiframe_map,0,32,0.7921080774965247
0.0,0.0,multiframe_map,0,33,0.6569849924274681
0.0,0.0,multiframe_map,0,34,0.6569849924274681
0.0,0.0,multiframe_map,0,35,0.11193412415282794
0.0,0.0,multiframe_map,0,36,0.9137131151562146
0.0,0.0,multiframe_map,0,37,0.9137131151562146
0.0,0.0,multiframe_map,0,38,0.9191603592384175
0.0,0.0,multiframe_map,0,39,0.6150962636379024
0.0,0.0,multiframe_map,0,40,0.0787403518386959
0.0,0.0,multiframe_map,0,41,0.9616739988364378
0.0,0.0,multiframe_map,0,42,0.5377323466952801
0.0,0.0,multiframe_map,0,43,0.7839270181610827
0.0,0.0,multiframe_map,0,44,0.7839270181610827
0.0,0.0,multiframe_map,0,45,0.0563616897014175
0.0,0.0,multiframe_map,0,46,0.0563616897014175
0.0,0.0,multiframe_map,0,47,0.0563616897014175
0.0,0.0,multiframe_map,0,48,0.5197566166141288
0.0,0.0,multiframe_map,0,49,0.17683150944724432
0.0,0.0,multiframe_map,0,50,0.16811867563858132
0.0,0.0,multiframe_map,1,1,0.2899307979810722
0.0,0.0,multiframe_map,1,2,0.2899307979810722
0.0,0.0,multiframe_map,1,3,0.9473617426418818
0.0,0.0,multiframe_map,1,4,0.5219065040981454
0.0,0.0,multiframe_map,1,5,0.5716951710195194
0.0,0.0,multiframe_map,1,6,0.5716951710195194
0.0,0.0,multiframe_map,1,7,0.7183637078229813
0.0,0.0,multiframe_map,1,8,0.5459969900967795
0.0,0.0,multiframe_map,1,9,0.38616565808669195
0.0,0.0,multiframe_map,1,10,0.2383263590330318
0.0,0.0,multiframe_map,1,11,0.8017720519793757
