tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.0,0.0,multiframe,0.7489905616127146,0.08404111779033156,23,17,0,0,40,0,"0.7626,0.6556,0.7137,0.7412,0.7864,0.8055,0.6906,0.7873,0.7445,0.7007,0.8413,0.7843,0.6881,0.7913,0.7818,0.8263,0.7470,0.7583,0.7912,0.7490","0.1136,0.0804,0.1269,0.1181,0.1101,0.0594,0.0941,0.1010,0.0831,0.1428,0.0353,0.0866,0.1355,0.0473,0.0092,0.0712,0.0807,0.0361,0.0714,0.0840"
0.0,0.0,bt_laplace_bald,0.7466902620203343,0.010277905131197003,23,17,0,0,40,0,"0.7401,0.7233,0.6146,0.8314,0.8849,0.8133,0.7463,0.8065,0.7340,0.6644,0.5899,0.7754,0.6846,0.7029,0.7363,0.7127,0.7874,0.8564,0.7701,0.7467","0.1141,0.0594,0.1510,0.0477,0.0034,0.0309,0.0199,0.0344,0.0115,0.0320,0.0282,0.0164,0.0495,0.0430,0.0833,0.0954,0.0533,0.0418,0.0214,0.0103"
0.0,0.0,bt_laplace_bald_k,0.8108012848383503,0.0610905990587198,23,17,0,0,40,0,"0.7400,0.8408,0.7717,0.8978,0.8916,0.8321,0.8279,0.9269,0.9261,0.8448,0.8465,0.8014,0.6639,0.6304,0.6574,0.6805,0.7593,0.7037,0.7313,0.8108","0.0680,0.0519,0.0353,0.0128,0.0443,0.0822,0.0561,0.0170,0.0261,0.0739,0.0224,0.0216,0.1797,0.1906,0.1817,0.1248,0.1269,0.1527,0.1094,0.0611"
0.0,0.0,bt_laplace_bald_random,0.8964101702933902,0.017162811305733862,20,20,0,0,40,0,"0.7209,0.7646,0.7804,0.7297,0.8680,0.8692,0.8045,0.8539,0.8226,0.8120,0.8382,0.8539,0.8513,0.8422,0.8086,0.7688,0.8770,0.9145,0.8983,0.8964","0.1251,0.1081,0.1464,0.1043,0.0340,0.0109,0.0171,0.0178,0.0456,0.0407,0.0637,0.0423,0.0669,0.0807,0.0584,0.0327,0.0087,0.0215,0.0259,0.0172"
0.0,0.0,bt_laplace_bald_left,0.9052703392020983,0.005373615475704873,22,18,0,0,40,0,"0.7314,0.6631,0.7639,0.8371,0.8750,0.8849,0.8338,0.8487,0.8485,0.9200,0.8967,0.9179,0.9296,0.9259,0.9384,0.9071,0.9177,0.9339,0.9355,0.9053","0.1344,0.0001,0.0010,0.0641,0.0364,0.0144,0.0210,0.0014,0.0162,0.0084,0.0073,0.0307,0.0318,0.0325,0.0178,0.0186,0.0051,0.0161,0.0083,0.0054"
0.0,0.2,multiframe,0.7147606063576408,0.001500100625062104,19,16,0,5,35,0,"0.8285,0.8264,0.8397,0.8392,0.8708,0.9167,0.8792,0.9091,0.9195,0.8158,0.7831,0.7938,0.8158,0.5962,0.7671,0.8310,0.8121,0.7545,0.8482,0.7148","0.0683,0.0718,0.0065,0.0278,0.0260,0.0074,0.0242,0.0291,0.0263,0.0133,0.0115,0.0155,0.0386,0.0481,0.0910,0.0821,0.0016,0.0350,0.0331,0.0015"
0.0,0.2,bt_laplace_bald,0.7808429445037995,0.04534098895709091,25,14,0,1,39,0,"0.8502,0.8429,0.8711,0.8744,0.9282,0.8276,0.7898,0.8293,0.8070,0.8224,0.8429,0.7902,0.8215,0.7184,0.8013,0.7810,0.8098,0.8474,0.8300,0.7808","0.0363,0.0252,0.0304,0.0172,0.0272,0.0409,0.0507,0.0312,0.0866,0.0647,0.0106,0.0022,0.0508,0.0389,0.0962,0.0690,0.0208,0.0407,0.0180,0.0453"
0.0,0.2,bt_laplace_bald_k,0.9191721978446481,0.012750810202755836,20,20,0,3,40,0,"0.7023,0.8262,0.7189,0.8356,0.8259,0.8500,0.9154,0.8917,0.8786,0.9338,0.8679,0.8811,0.9150,0.8855,0.8756,0.8819,0.9363,0.9262,0.9115,0.9192","0.0946,0.0622,0.0727,0.0568,0.0908,0.0695,0.0058,0.0418,0.0597,0.0109,0.0376,0.0348,0.0021,0.0102,0.0165,0.0019,0.0157,0.0038,0.0190,0.0128"
0.0,0.2,bt_laplace_bald_random,0.8119666852955869,0.04254774956323734,23,16,0,1,40,1,"0.8175,0.8514,0.8702,0.7517,0.8582,0.8543,0.7957,0.7935,0.7364,0.7611,0.7471,0.7802,0.7400,0.7481,0.7508,0.7737,0.8153,0.8596,0.8136,0.8120","0.0567,0.0467,0.0829,0.0887,0.0409,0.0215,0.0108,0.0249,0.0153,0.0046,0.0007,0.0098,0.0118,0.0142,0.0175,0.0293,0.0523,0.0603,0.0340,0.0425"
0.0,0.2,bt_laplace_bald_left,0.7864950982883863,0.07861316281144677,24,16,0,0,40,0,"0.8780,0.7366,0.7120,0.7880,0.8136,0.8647,0.8546,0.7935,0.8041,0.7694,0.8030,0.7876,0.7818,0.8384,0.8809,0.8831,0.8853,0.8822,0.8813,0.7865","0.0307,0.0521,0.0377,0.0294,0.0070,0.0288,0.0063,0.0376,0.0151,0.1149,0.0589,0.1228,0.1363,0.0944,0.0585,0.0356,0.0280,0.0527,0.0467,0.0786"
