tau,tau_prime,method,trial,timestep,cos_sim,l1_error,holdout_ll,n_left,n_right,n_indifferent,n_incomparable,n_attempts
0.6,0.2,multiframe,0,1,0.9587237227658668,0.32245067259412596,1.7334780844196007,,,,,
0.6,0.2,multiframe,0,2,0.9851047977610328,0.18058280612867972,1.3913061567117686,,,,,
0.6,0.2,multiframe,0,3,0.9162200289380895,0.5306151640681669,1.7340723186243088,,,,,
0.6,0.2,multiframe,0,4,0.9148044033934951,0.5141910243481848,1.7340723186243088,,,,,
0.6,0.2,multiframe,0,5,0.9899296580911253,0.15229927933286586,1.060416470431084,,,,,
0.6,0.2,multiframe,0,6,0.9796477260565466,0.2258491120610559,0.02796692540843358,,,,,
0.6,0.2,multiframe,0,7,0.9928011978265161,0.15720557144636366,0.030113833552535225,,,,,
0.6,0.2,multiframe,0,8,0.999534146135446,0.03485867082476225,0.369086558027561,,,,,
0.6,0.2,multiframe,0,9,0.978545609419372,0.23433133130832484,0.026373889621146097,,,,,
0.6,0.2,multiframe,0,10,0.9978042546881253,0.09818730275461118,0.031059097052802055,,,,,
0.6,0.2,multiframe,0,11,0.9940610808324142,0.14799729665667472,0.028309984786824158,,,,,
0.6,0.2,multiframe,0,12,0.9997871007956891,0.024437074467679974,0.36853873841938245,,,,,
0.6,0.2,multiframe,0,13,0.9926616657876182,0.12335249842013306,0.026416244618814644,,,,,
0.6,0.2,multiframe,0,14,0.9973646048911788,0.08544552018750944,0.3671317990502746,,,,,
0.6,0.2,multiframe,0,15,0.997419836842195,0.07799947236549781,0.03219696161252103,,,,,
0.6,0.2,multiframe,0,16,0.991090641712561,0.1628059145650326,0.029261529100870886,,,,,
0.6,0.2,multiframe,0,17,0.9713155374781002,0.24254784108431057,1.738898866092302,,,,,
0.6,0.2,multiframe,0,18,0.9973297523477416,0.09298849671280586,0.7110514599118015,,,,,
0.6,0.2,multiframe,0,19,0.9961078333118331,0.09215724443846346,0.030809008695080395,,,,,
0.6,0.2,multiframe,0,20,0.994912769704913,0.11684976986201275,0.36996052313584493,,,,,
0.6,0.2,multiframe,0,21,0.9979452072691827,0.07762601121004079,0.7104576069642299,,,,,
0.6,0.2,multiframe,0,22,0.9990278206540248,0.062188323105720505,0.36722100433944616,,,,,
0.6,0.2,multiframe,0,23,0.993557919433545,0.1396705265350265,0.7155399889119852,,,,,
0.6,0.2,multiframe,0,24,0.9891912259566142,0.15959979664046411,1.0527026249705271,,,,,
0.6,0.2,multiframe,0,25,0.9994560831278726,0.04008199508350988,0.3667276367233059,,,,,
0.6,0.2,multiframe,0,26,0.998929870310046,0.07065590339163566,0.03130075259431239,,,,,
0.6,0.2,multiframe,0,27,0.9993997529598212,0.04155175020666608,0.3678937643283878,,,,,
0.6,0.2,multiframe,0,28,0.9978286641491961,0.08130763195703156,0.024434484416945273,,,,,
0.6,0.2,multiframe,0,29,0.9958558975993688,0.11339979740312152,0.3720663327906898,,,,,
0.6,0.2,multiframe,0,30,0.9989875290204385,0.061493348298488196,0.030509275708628523,,,,,
0.6,0.2,multiframe,0,31,0.9993226461653792,0.049134219507976695,0.03049284960553065,,,,,
0.6,0.2,multiframe,0,32,0.9995211272147768,0.03856780121160273,0.36898503431292085,,,,,
0.6,0.2,multiframe,0,33,0.9996247573151226,0.030907414787190245,0.027252561989604594,,,,,
0.6,0.2,multiframe,0,34,0.9967892687625738,0.10104219574056886,0.3687671844299393,,,,,
0.6,0.2,multiframe,0,35,0.998262128683004,0.08739819563566043,0.029468837110897726,,,,,
0.6,0.2,multiframe,0,36,0.9965978516510647,0.11456959422729646,0.030523666270904727,,,,,
0.6,0.2,multiframe,0,37,0.9937111087348862,0.14194690940086707,0.028501872593332842,,,,,
0.6,0.2,multiframe,0,38,0.9991644859523546,0.051757652692964465,0.029254478418235013,,,,,
0.6,0.2,multiframe,0,39,0.9989472257946824,0.04768261586633673,0.02631353369866444,,,,,
0.6,0.2,multiframe,0,40,0.9985645340241512,0.06737849569382197,0.026567352269496674,,,,,
0.6,0.2,multiframe,0,41,0.9993250237787423,0.04778736359767441,0.02951324337334822,,,,,
0.6,0.2,multiframe,0,42,0.9998618950932532,0.022987113530423955,0.027577111442896696,,,,,
0.6,0.2,multiframe,0,43,0.9999391309112469,0.014921074414485331,0.36828998228921334,,,,,
0.6,0.2,multiframe,0,44,0.9974765393005156,0.0759706753213876,0.03148651172335112,,,,,
0.6,0.2,multiframe,0,45,0.9987458801315572,0.07449756882201765,0.7062124977929279,,,,,
0.6,0.2,multiframe,0,46,0.9990405531159996,0.054300853522539765,0.030753470727934017,,,,,
0.6,0.2,multiframe,0,47,0.9995702442172266,0.03433441529162752,0.3672364245429644,,,,,
0.6,0.2,multiframe,0,48,0.9996953993149094,0.026731588334680523,0.031056121126540458,,,,,
0.6,0.2,multiframe,0,49,0.9993965491559664,0.04157564770040954,0.02906015708886226,,,,,
0.6,0.2,multiframe,0,50,0.9997882558926366,0.0253947154417696,0.030456051035946636,,,,,
0.6,0.2,multiframe,0,-1,0.9997882558926366,0.0253947154417696,0.030456051035946636,11.0,15.0,22.0,2.0,50.0
0.6,0.2,bt_laplace_bald,0,1,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,2,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,3,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,4,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,5,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,6,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,7,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,8,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,9,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,10,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,11,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,12,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,13,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
0.6,0.2,bt_laplace_bald,0,14,0.7379202865562668,0.6820428170009927,0.667287727155941,,,,,
