tau,tau_prime,method,trial,timestep,cos_sim,n_left,n_right,n_indifferent,n_incomparable,n_attempts
0.0,0.0,multiframe,0,1,0.6701539942807695,,,,,
0.0,0.0,multiframe,0,2,0.656108314995144,,,,,
0.0,0.0,multiframe,0,3,0.7147958832863114,,,,,
0.0,0.0,multiframe,0,4,0.8725108225684622,,,,,
0.0,0.0,multiframe,0,5,0.5923518316494126,,,,,
0.0,0.0,multiframe,0,6,0.6784796036475712,,,,,
0.0,0.0,multiframe,0,7,0.745232559696438,,,,,
0.0,0.0,multiframe,0,8,0.7468188173905369,,,,,
0.0,0.0,multiframe,0,9,0.6937966205057566,,,,,
0.0,0.0,multiframe,0,10,0.5700647816859938,,,,,
0.0,0.0,multiframe,0,11,0.7614125112667368,,,,,
0.0,0.0,multiframe,0,12,0.7256333792568042,,,,,
0.0,0.0,multiframe,0,13,0.6956601290398751,,,,,
0.0,0.0,multiframe,0,14,0.7227058318925432,,,,,
0.0,0.0,multiframe,0,15,0.7741203132075517,,,,,
0.0,0.0,multiframe,0,16,0.708776129520736,,,,,
0.0,0.0,multiframe,0,17,0.7222829165950446,,,,,
0.0,0.0,multiframe,0,18,0.8781784635165298,,,,,
0.0,0.0,multiframe,0,19,0.5774326254115848,,,,,
0.0,0.0,multiframe,0,20,0.7980146153469803,,,,,
0.0,0.0,multiframe,0,21,0.8147820756976311,,,,,
0.0,0.0,multiframe,0,22,0.7239123549675537,,,,,
0.0,0.0,multiframe,0,23,0.7912436984359362,,,,,
0.0,0.0,multiframe,0,24,0.7580844275558455,,,,,
0.0,0.0,multiframe,0,25,0.8203322256779789,,,,,
0.0,0.0,multiframe,0,26,0.6643714830556829,,,,,
0.0,0.0,multiframe,0,27,0.7423095042915878,,,,,
0.0,0.0,multiframe,0,28,0.7324160118760189,,,,,
0.0,0.0,multiframe,0,29,0.7191407658336826,,,,,
0.0,0.0,multiframe,0,30,0.7428887420807182,,,,,
0.0,0.0,multiframe,0,-1,0.7428887420807182,16.0,14.0,0.0,0.0,30.0
0.0,0.0,multiframe,1,1,0.5257474715293211,,,,,
0.0,0.0,multiframe,1,2,0.3863300851556227,,,,,
0.0,0.0,multiframe,1,3,0.6828041830352891,,,,,
0.0,0.0,multiframe,1,4,0.700701323623908,,,,,
0.0,0.0,multiframe,1,5,0.5557523122851842,,,,,
0.0,0.0,multiframe,1,6,0.6348707004019268,,,,,
0.0,0.0,multiframe,1,7,0.618683907979523,,,,,
0.0,0.0,multiframe,1,8,0.520700622844953,,,,,
0.0,0.0,multiframe,1,9,0.38642110250927514,,,,,
0.0,0.0,multiframe,1,10,0.5716817018247671,,,,,
0.0,0.0,multiframe,1,11,0.4439730803286535,,,,,
0.0,0.0,multiframe,1,12,0.31528087539716293,,,,,
0.0,0.0,multiframe,1,13,0.5882466069824335,,,,,
0.0,0.0,multiframe,1,14,0.5760916429940988,,,,,
0.0,0.0,multiframe,1,15,0.4944651840133326,,,,,
0.0,0.0,multiframe,1,16,0.5777053139032309,,,,,
0.0,0.0,multiframe,1,17,0.5023887450787409,,,,,
0.0,0.0,multiframe,1,18,0.5518925738767793,,,,,
0.0,0.0,multiframe,1,19,0.44053982535647956,,,,,
0.0,0.0,multiframe,1,20,0.4867611209896814,,,,,
0.0,0.0,multiframe,1,21,0.5804279840574317,,,,,
0.0,0.0,multiframe,1,22,0.5207339794877864,,,,,
0.0,0.0,multiframe,1,23,0.4225966609674367,,,,,
0.0,0.0,multiframe,1,24,0.5627851887068761,,,,,
0.0,0.0,multiframe,1,25,0.6316805140930386,,,,,
0.0,0.0,multiframe,1,26,0.49551765613431886,,,,,
0.0,0.0,multiframe,1,27,0.540923913289713,,,,,
0.0,0.0,multiframe,1,28,0.611287570820442,,,,,
0.0,0.0,multiframe,1,29,0.591065485668334,,,,,
0.0,0.0,multiframe,1,30,0.615653073123157,,,,,
0.0,0.0,multiframe,1,-1,0.615653073123157,17.0,13.0,0.0,0.0,30.0
0.0,0.0,multiframe,2,1,0.6240730983237065,,,,,
0.0,0.0,multiframe,2,2,0.5840849349789186,,,,,
0.0,0.0,multiframe,2,3,0.41045113873916456,,,,,
0.0,0.0,multiframe,2,4,0.6515748464717542,,,,,
0.0,0.0,multiframe,2,5,0.6033159553599504,,,,,
0.0,0.0,multiframe,2,6,0.5594853507900546,,,,,
0.0,0.0,multiframe,2,7,0.49743010380732705,,,,,
0.0,0.0,multiframe,2,8,0.565059943107193,,,,,
0.0,0.0,multiframe,2,9,0.6949762851387492,,,,,
0.0,0.0,multiframe,2,10,0.8143213227216509,,,,,
0.0,0.0,multiframe,2,11,0.43815986685164526,,,,,
0.0,0.0,multiframe,2,12,0.5386598225119531,,,,,
0.0,0.0,multiframe,2,13,0.7704699856014136,,,,,
0.0,0.0,multiframe,2,14,0.6498587859178065,,,,,
0.0,0.0,multiframe,2,15,0.48136336908053856,,,,,
0.0,0.0,multiframe,2,16,0.7043228534317773,,,,,
0.0,0.0,multiframe,2,17,0.5233100275439957,,,,,
0.0,0.0,multiframe,2,18,0.5844494543030465,,,,,
0.0,0.0,multiframe,2,19,0.6138958849017557,,,,,
0.0,0.0,multiframe,2,20,0.6428640562568442,,,,,
0.0,0.0,multiframe,2,21,0.505635442417395,,,,,
0.0,0.0,multiframe,2,22,0.6685055147378935,,,,,
0.0,0.0,multiframe,2,23,0.8556022775373529,,,,,
0.0,0.0,multiframe,2,24,0.6582740152798404,,,,,
0.0,0.0,multiframe,2,25,0.5464714716469027,,,,,
0.0,0.0,multiframe,2,26,0.9656985259244805,,,,,
0.0,0.0,multiframe,2,27,0.5074221084824507,,,,,
0.0,0.0,multiframe,2,28,0.48247161110414083,,,,,
0.0,0.0,multiframe,2,29,0.9303658710972615,,,,,
0.0,0.0,multiframe,2,30,0.47152883202210233,,,,,
0.0,0.0,multiframe,2,-1,0.47152883202210233,21.0,9.0,0.0,0.0,30.0
0.0,0.0,multiframe,3,1,0.6655039868231201,,,,,
0.0,0.0,multiframe,3,2,0.664340794936484,,,,,
0.0,0.0,multiframe,3,3,0.6795646798925843,,,,,
0.0,0.0,multiframe,3,4,0.7497514132312121,,,,,
0.0,0.0,multiframe,3,5,0.5790593703152063,,,,,
0.0,0.0,multiframe,3,6,0.8299453592794253,,,,,
0.0,0.0,multiframe,3,7,0.6333546206304962,,,,,
0.0,0.0,multiframe,3,8,0.8287026115416568,,,,,
0.0,0.0,multiframe,3,9,0.6463963192305986,,,,,
0.0,0.0,multiframe,3,10,0.373101166528537,,,,,
0.0,0.0,multiframe,3,11,0.8151853853947363,,,,,
0.0,0.0,multiframe,3,12,0.8471506585383559,,,,,
0.0,0.0,multiframe,3,13,0.6913685052936471,,,,,
0.0,0.0,multiframe,3,14,0.7285477597614913,,,,,
0.0,0.0,multiframe,3,15,0.7083186068028681,,,,,
0.0,0.0,multiframe,3,16,0.8446406633758254,,,,,
0.0,0.0,multiframe,3,17,0.4476135256930492,,,,,
0.0,0.0,multiframe,3,18,0.5587268248293313,,,,,
0.0,0.0,multiframe,3,19,0.7046538317612786,,,,,
0.0,0.0,multiframe,3,20,0.8600646049535325,,,,,
0.0,0.0,multiframe,3,21,0.6618706952279066,,,,,
0.0,0.0,multiframe,3,22,0.8512672646850993,,,,,
0.0,0.0,multiframe,3,23,0.599291391896615,,,,,
0.0,0.0,multiframe,3,24,0.6086765606547914,,,,,
0.0,0.0,multiframe,3,25,0.6808827448512449,,,,,
0.0,0.0,multiframe,3,26,0.7549303997263332,,,,,
0.0,0.0,multiframe,3,27,0.686781474255618,,,,,
0.0,0.0,multiframe,3,28,0.644356016935666,,,,,
0.0,0.0,multiframe,3,29,0.6679177312547907,,,,,
0.0,0.0,multiframe,3,30,0.7202467383683475,,,,,
0.0,0.0,multiframe,3,-1,0.7202467383683475,16.0,14.0,0.0,0.0,30.0
0.0,0.0,multiframe,4,1,0.5955010265181149,,,,,
0.0,0.0,multiframe,4,2,0.6302891851147673,,,,,
0.0,0.0,multiframe,4,3,0.8412016128642194,,,,,
0.0,0.0,multiframe,4,4,0.5943719123287164,,,,,
0.0,0.0,multiframe,4,5,0.7712370462481577,,,,,
0.0,0.0,multiframe,4,6,0.7809652193827086,,,,,
0.0,0.0,multiframe,4,7,0.5702642248042563,,,,,
0.0,0.0,multiframe,4,8,0.6777858257946127,,,,,
0.0,0.0,multiframe,4,9,0.6541645721320717,,,,,
0.0,0.0,multiframe,4,10,0.7006237473935334,,,,,
