tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.6,0.2,multiframe,0.9997882558926366,0.0,11,15,22,2,26,0,"0.9587,0.9851,0.9162,0.9148,0.9899,0.9796,0.9928,0.9995,0.9785,0.9978,0.9941,0.9998,0.9927,0.9974,0.9974,0.9911,0.9713,0.9973,0.9961,0.9949,0.9979,0.9990,0.9936,0.9892,0.9995,0.9989,0.9994,0.9978,0.9959,0.9990,0.9993,0.9995,0.9996,0.9968,0.9983,0.9966,0.9937,0.9992,0.9989,0.9986,0.9993,0.9999,0.9999,0.9975,0.9987,0.9990,0.9996,0.9997,0.9994,0.9998","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.2,bt_laplace_bald,0.36047055254707644,0.0,3,1,46,0,4,0,"0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.6674,0.6674,0.6674,0.6934,0.6934,0.6934,0.6934,0.6934,0.6396,0.6396,0.6396,0.3605,0.3605,0.3605,0.3605,0.3605,0.3605,0.3605,0.3605","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.2,bt_laplace_bald_k,0.7763948037273187,0.0,20,30,226,3,50,0,"0.7291,0.7291,0.6850,0.2920,0.2920,0.2920,0.2920,0.2920,0.2920,0.2920,0.2920,0.2920,0.2920,0.2920,0.2920,0.4901,0.4901,0.4901,0.4901,0.4901,0.4901,0.3548,0.3548,0.4557,0.4557,0.4557,0.4557,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,0.7764,0.7764,0.7764,0.7764","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.2,bt_laplace_bald_random,0.4574032089575239,0.0,6,4,40,0,50,40,"0.6833,0.5799,0.5352,0.8175,0.7280,0.7070,0.6293,0.6546,0.4994,0.5388,0.5306,0.5373,0.5376,0.5180,0.5070,0.5135,0.5630,0.5334,0.5303,0.5435,0.5619,0.5287,0.5412,0.5828,0.5519,0.5115,0.4699,0.4928,0.4910,0.4563,0.4506,0.4671,0.3870,0.4313,0.3837,0.4247,0.3681,0.4278,0.5119,0.4365,0.4207,0.3688,0.3826,0.3963,0.4335,0.4264,0.4841,0.4702,0.4275,0.4574","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.2,bt_laplace_bald_left,0.7394577441073383,0.0,6,6,38,0,50,38,"0.4341,0.4785,0.5486,0.4649,0.8890,0.7070,0.7482,0.7137,0.7792,0.7561,0.7603,0.7645,0.8012,0.7856,0.7921,0.7983,0.7656,0.7106,0.7914,0.7670,0.7593,0.7621,0.7378,0.7453,0.7447,0.7430,0.7432,0.7425,0.7352,0.7413,0.7456,0.7369,0.7352,0.7225,0.7261,0.7269,0.7328,0.7222,0.7337,0.7335,0.7348,0.7456,0.7415,0.7495,0.7457,0.7394,0.7480,0.7537,0.7559,0.7395","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,multiframe,0.998125078426893,0.0,11,11,20,8,22,0,"0.6267,0.7910,0.7709,0.8580,0.7542,0.9678,0.9797,0.9565,0.9761,0.9837,0.9462,0.9955,0.9934,0.9600,0.9891,0.9612,0.9415,0.9886,0.9984,0.9880,0.9987,0.9949,0.9923,0.9990,0.9898,0.9979,0.9942,0.9996,0.9985,0.9989,0.9982,0.9963,0.9961,0.9387,0.9990,0.9904,0.9986,0.9949,0.9995,0.9997,0.9992,0.9992,0.9989,0.9991,0.9996,0.9962,0.9987,0.9973,0.9984,0.9981","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,bt_laplace_bald,0.5392047752857574,0.0,4,3,42,1,7,0,"0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.5367,0.5367,0.5367,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679,0.3778,0.3778,0.3509,0.3509,0.3509,0.3509,0.3509,0.3509,0.3509,0.3509,0.3509,0.3475,0.3475,0.3475,0.5728,0.5392,0.5392","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,bt_laplace_bald_k,0.6226335783499078,0.0,21,19,456,4,40,0,"0.6354,0.6354,0.6354,0.6354,0.6354,0.6699,0.6699,0.6699,0.6699,0.6699,0.6699,0.6699,0.6699,0.6699,0.6699,0.7450,0.7450,0.7450,0.7450,0.7450,0.7450,0.7450,0.7196,0.7196,0.7196,0.7799,0.7799,0.7799,0.7100,0.7100,0.7100,0.7428,0.5809,0.5809,0.5809,0.5809,0.5809,0.5809,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.5475,0.6226,0.6226,0.6226","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,bt_laplace_bald_random,0.7390695525235108,0.0,16,6,25,3,50,28,"0.6415,0.7420,0.7715,0.7888,0.7009,0.7446,0.6572,0.6816,0.6632,0.6384,0.6598,0.7214,0.6879,0.7010,0.7487,0.7377,0.8026,0.7887,0.7919,0.8264,0.7957,0.8239,0.8624,0.8145,0.8159,0.8287,0.8352,0.8409,0.8331,0.8468,0.8048,0.7743,0.6440,0.7328,0.7390,0.7487,0.8058,0.7932,0.7974,0.8391,0.7711,0.6899,0.6690,0.6779,0.7278,0.7190,0.6978,0.7379,0.7546,0.7391","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,bt_laplace_bald_left,0.8101541704479976,0.0,7,7,35,1,50,36,"0.6467,0.7358,0.7303,0.9104,0.9395,0.8980,0.9045,0.8014,0.8199,0.7837,0.8065,0.8525,0.8529,0.8559,0.8661,0.8790,0.8645,0.8129,0.8178,0.8326,0.8124,0.8145,0.8369,0.8279,0.8145,0.8083,0.8120,0.8050,0.8265,0.8209,0.8245,0.8202,0.8159,0.8115,0.7904,0.7992,0.7969,0.7919,0.7885,0.7884,0.7931,0.7913,0.7761,0.8017,0.8044,0.8183,0.8110,0.8195,0.8213,0.8102","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
