tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.0,0.4,bt_laplace_bald_k,0.8968939444757519,0.04192894616596547,23,17,0,9,40,0,"0.6263,0.7451,0.6887,0.7148,0.7266,0.7262,0.7689,0.7681,0.7261,0.7008,0.8016,0.8718,0.9116,0.8903,0.9178,0.9357,0.9161,0.9115,0.9049,0.8969","0.0092,0.0583,0.0709,0.1183,0.0867,0.1103,0.1014,0.1063,0.1484,0.1738,0.0946,0.0357,0.0145,0.0400,0.0240,0.0013,0.0066,0.0309,0.0386,0.0419"
0.0,0.4,bt_laplace_bald_random,0.4154871552648086,0.14473890982957716,18,18,0,4,40,4,"0.5366,0.4100,0.4246,0.3521,0.2887,0.3767,0.5118,0.4688,0.4024,0.3820,0.4116,0.3749,0.4152,0.4503,0.4009,0.3701,0.4094,0.3858,0.3998,0.4155","0.0612,0.0756,0.1006,0.0532,0.0609,0.0375,0.1133,0.1381,0.1443,0.0948,0.1272,0.1615,0.1281,0.1734,0.1494,0.1469,0.1466,0.1418,0.1671,0.1447"
0.0,0.4,bt_laplace_bald_left,0.68661822412384,0.0010582720026087566,23,14,0,3,40,3,"0.5832,0.6256,0.6485,0.5439,0.6807,0.7461,0.8255,0.8667,0.9168,0.9068,0.9184,0.8541,0.7837,0.6297,0.7164,0.6853,0.7166,0.6454,0.6088,0.6866","0.0759,0.0393,0.0189,0.0836,0.0086,0.0246,0.0201,0.0348,0.0078,0.0351,0.0188,0.0697,0.0911,0.1253,0.0747,0.0451,0.0372,0.0029,0.0252,0.0011"
0.0,0.6,multiframe,0.5914719305762901,0.18614225553739364,16,20,0,4,36,0,"0.6732,0.6134,0.6447,0.5568,0.5929,0.6095,0.6386,0.6743,0.8077,0.6612,0.6487,0.6805,0.8374,0.7455,0.7631,0.7996,0.6923,0.8510,0.9611,0.5915","0.1947,0.1673,0.0645,0.1283,0.1043,0.0591,0.0954,0.0232,0.0512,0.1896,0.2229,0.0186,0.0652,0.1345,0.0352,0.0042,0.1865,0.0807,0.0025,0.1861"
0.0,0.6,bt_laplace_bald,0.7371837432207793,0.0595808468692327,18,17,0,5,35,0,"0.5026,0.5516,0.6359,0.6465,0.6016,0.4681,0.5165,0.5996,0.5216,0.4203,0.5648,0.5484,0.4962,0.6381,0.5748,0.7104,0.6298,0.5937,0.7458,0.7372","0.1239,0.0767,0.0775,0.0864,0.0700,0.1231,0.0780,0.0666,0.0970,0.0860,0.1120,0.0639,0.1333,0.1463,0.1321,0.1376,0.0775,0.1333,0.0855,0.0596"
0.0,0.6,bt_laplace_bald_k,0.6535092244931513,0.20362775363362717,19,21,0,6,40,0,"0.4875,0.5053,0.4796,0.4816,0.5143,0.4215,0.5976,0.5641,0.6029,0.6560,0.7246,0.6458,0.6491,0.6682,0.5955,0.6692,0.5944,0.6646,0.6312,0.6535","0.1438,0.1296,0.1372,0.1525,0.1333,0.0750,0.1567,0.1727,0.1734,0.1961,0.1745,0.2151,0.2234,0.2137,0.2677,0.2006,0.2677,0.2165,0.2305,0.2036"
0.0,0.6,bt_laplace_bald_random,0.8127219348882482,0.028550389692584555,18,18,0,4,40,4,"0.5076,0.4971,0.4301,0.4735,0.3859,0.4635,0.5426,0.5116,0.5623,0.6025,0.7978,0.7068,0.6701,0.7871,0.8271,0.8650,0.8763,0.8633,0.8285,0.8127","0.1410,0.1412,0.0683,0.0679,0.0734,0.0819,0.0689,0.0338,0.0207,0.1175,0.0772,0.0531,0.0744,0.0508,0.0343,0.0491,0.0087,0.0322,0.0534,0.0286"
0.0,0.6,bt_laplace_bald_left,0.8478682019381525,0.0750541183219623,20,13,0,7,40,7,"0.5403,0.5732,0.5972,0.4894,0.5832,0.5387,0.6633,0.5923,0.5971,0.5362,0.6073,0.6061,0.6276,0.6705,0.6350,0.6429,0.6974,0.7430,0.8163,0.8479","0.1335,0.2103,0.1907,0.1386,0.1776,0.1699,0.1977,0.1891,0.2090,0.2007,0.1803,0.2160,0.2046,0.2019,0.2206,0.2269,0.1937,0.1443,0.0987,0.0751"
0.0,0.8,multiframe,0.7679347118338194,0.1379682619268665,12,24,0,4,36,0,"0.6130,0.6776,0.5518,0.5413,0.6229,0.5631,0.5407,0.6607,0.5512,0.6773,0.7173,0.3598,0.7426,0.6357,0.7314,0.7833,0.6992,0.8294,0.7683,0.7679","0.1196,0.0323,0.1544,0.0394,0.0607,0.1004,0.0972,0.0203,0.1643,0.1489,0.1163,0.1086,0.0514,0.0779,0.0104,0.0481,0.0434,0.0968,0.0689,0.1380"
0.0,0.8,bt_laplace_bald,0.6949304181307883,0.09346428155563109,15,16,0,9,31,0,"0.6178,0.6164,0.6351,0.6215,0.6294,0.6717,0.6270,0.6428,0.6057,0.5984,0.5322,0.6095,0.6558,0.6916,0.8385,0.7965,0.7922,0.7428,0.7527,0.6949","0.0989,0.2040,0.2143,0.2358,0.2312,0.2104,0.2343,0.2134,0.2215,0.2404,0.1732,0.0542,0.0687,0.0582,0.0257,0.0293,0.1008,0.1500,0.1328,0.0935"
0.0,0.8,bt_laplace_bald_k,0.6388762228465004,0.08707687483544412,19,21,0,6,40,0,"0.6520,0.6156,0.7659,0.7885,0.9075,0.9368,0.9536,0.9390,0.9359,0.8721,0.7774,0.7787,0.7418,0.6859,0.7574,0.7010,0.7031,0.6202,0.5852,0.6389","0.0828,0.0540,0.0462,0.0429,0.0169,0.0334,0.0145,0.0245,0.0136,0.0682,0.1249,0.1350,0.1574,0.1662,0.1040,0.1135,0.1330,0.1329,0.1442,0.0871"
0.0,0.8,bt_laplace_bald_random,0.7819438335424143,0.0953029645428783,12,16,0,12,40,12,"0.5873,0.6516,0.6840,0.8175,0.6500,0.6214,0.6304,0.7559,0.7827,0.7931,0.7594,0.8386,0.7842,0.7768,0.8213,0.7523,0.8325,0.8158,0.8484,0.7819","0.1415,0.1514,0.1830,0.1172,0.2188,0.2032,0.2263,0.1473,0.1038,0.0426,0.1188,0.0725,0.0207,0.0223,0.0140,0.0153,0.0219,0.0466,0.0544,0.0953"
0.0,0.8,bt_laplace_bald_left,0.7528025926007265,0.045067973522625156,16,17,0,7,40,7,"0.7002,0.6321,0.6846,0.8308,0.5915,0.6901,0.6289,0.6780,0.6071,0.5144,0.4905,0.4996,0.6346,0.5959,0.5363,0.5947,0.6582,0.6944,0.7292,0.7528","0.1018,0.0121,0.0312,0.0040,0.0741,0.0212,0.0962,0.0580,0.0291,0.0677,0.0740,0.0392,0.0161,0.0838,0.0757,0.0449,0.0212,0.0317,0.0403,0.0451"
0.2,0.0,multiframe,0.8236662921727054,0.11919982781274258,6,11,23,0,17,0,"0.7719,0.7250,0.8799,0.9087,0.9244,0.9172,0.9704,0.9621,0.9797,0.9821,0.9861,0.9922,0.9933,0.9932,0.8843,0.9920,0.8840,0.9955,0.9682,0.8237","0.0745,0.0510,0.0526,0.0105,0.0057,0.0320,0.0114,0.0040,0.0093,0.0011,0.0012,0.0026,0.0020,0.0018,0.0746,0.0031,0.0802,0.0019,0.0185,0.1192"
0.2,0.0,bt_laplace_bald,0.6031431598997483,0.0005890194175794025,19,16,5,0,35,0,"0.7323,0.5957,0.5410,0.6052,0.5959,0.5519,0.6835,0.5606,0.5455,0.4905,0.5694,0.5863,0.5641,0.5383,0.5598,0.5725,0.5098,0.6651,0.5879,0.6031","0.0549,0.1403,0.1345,0.1791,0.2009,0.1699,0.1804,0.0869,0.1659,0.1563,0.1550,0.2062,0.1697,0.1954,0.1802,0.1352,0.1117,0.0387,0.0366,0.0006"
0.2,0.0,bt_laplace_bald_k,0.8110847088352671,0.03431247119047242,18,22,0,0,40,0,"0.6656,0.7350,0.8602,0.8927,0.8999,0.9148,0.9263,0.9342,0.9062,0.8742,0.8788,0.8849,0.7960,0.7543,0.8335,0.7981,0.7410,0.8431,0.8302,0.8111","0.0580,0.0330,0.0162,0.0296,0.0470,0.0058,0.0167,0.0115,0.0043,0.0396,0.0424,0.0030,0.0198,0.0501,0.0030,0.0402,0.0552,0.0207,0.0274,0.0343"
