tau,tau_prime,method,trial,attempt,cos_sim
0.0,0.0,bt_map,2,1,0.8845406754687638
0.0,0.0,bt_map,2,2,0.6547561959459389
0.0,0.0,bt_map,2,3,0.6083161307202495
0.0,0.0,bt_map,2,4,0.7321474470797373
0.0,0.0,bt_map,2,5,0.7693013872034143
0.0,0.0,bt_map,2,6,0.7197590499459612
0.0,0.0,bt_map,2,7,0.5941677969796155
0.0,0.0,bt_map,2,8,0.32830866453369983
0.0,0.0,bt_map,2,9,0.4407559988101397
0.0,0.0,bt_map,2,10,0.3836689129525197
0.0,0.0,bt_map,2,11,0.33481600620165103
0.0,0.0,bt_map,2,12,0.34449815683206864
0.0,0.0,bt_map,2,13,0.35013170258436765
0.0,0.0,bt_map,2,14,0.2861176813272903
0.0,0.0,bt_map,2,15,0.5236230453483418
0.0,0.0,bt_map,2,16,0.7074852948954442
0.0,0.0,bt_map,2,17,0.6949347360990829
0.0,0.0,bt_map,2,18,0.7274742403188553
0.0,0.0,bt_map,2,19,0.7090398617164191
0.0,0.0,bt_map,2,20,0.5960588979857514
0.0,0.0,bt_map_k,0,1,0.8013970145751218
0.0,0.0,bt_map_k,0,2,0.6633907624769826
0.0,0.0,bt_map_k,0,3,0.5909576369111956
0.0,0.0,bt_map_k,0,4,0.5840271309903127
0.0,0.0,bt_map_k,0,5,0.49623624824508633
0.0,0.0,bt_map_k,0,6,0.6296930734510925
0.0,0.0,bt_map_k,0,7,0.7175624689772914
0.0,0.0,bt_map_k,0,8,0.5643737541119176
0.0,0.0,bt_map_k,0,9,0.8243607050417893
0.0,0.0,bt_map_k,0,10,0.9430522912901927
0.0,0.0,bt_map_k,0,11,0.8812544598506887
0.0,0.0,bt_map_k,0,12,0.6951091515883248
0.0,0.0,bt_map_k,0,13,0.6864046509157493
0.0,0.0,bt_map_k,0,14,0.7188456206051975
0.0,0.0,bt_map_k,0,15,0.5899966570085878
0.0,0.0,bt_map_k,0,16,0.5954061701366535
0.0,0.0,bt_map_k,0,17,0.5228506907035887
0.0,0.0,bt_map_k,0,18,0.5845297459261005
0.0,0.0,bt_map_k,0,19,0.6512176291651656
0.0,0.0,bt_map_k,0,20,0.8015597364063541
0.0,0.0,bt_map_k,1,1,0.8415976328989679
0.0,0.0,bt_map_k,1,2,0.5272962215509835
0.0,0.0,bt_map_k,1,3,0.6681617625097369
0.0,0.0,bt_map_k,1,4,0.7024862918059818
0.0,0.0,bt_map_k,1,5,0.8099632854674225
0.0,0.0,bt_map_k,1,6,0.7321918855327657
0.0,0.0,bt_map_k,1,7,0.8237354639521034
0.0,0.0,bt_map_k,1,8,0.8320874260093647
0.0,0.0,bt_map_k,1,9,0.9275964155838953
0.0,0.0,bt_map_k,1,10,0.8545023741790537
0.0,0.0,bt_map_k,1,11,0.8650289249632315
0.0,0.0,bt_map_k,1,12,0.8522987054975947
0.0,0.0,bt_map_k,1,13,0.9876211995326493
0.0,0.0,bt_map_k,1,14,0.7374034164440345
0.0,0.0,bt_map_k,1,15,0.8150749133553741
0.0,0.0,bt_map_k,1,16,0.9176235131713399
0.0,0.0,bt_map_k,1,17,0.8301416589355439
0.0,0.0,bt_map_k,1,18,0.8688041650692907
0.0,0.0,bt_map_k,1,19,0.9672946109416992
0.0,0.0,bt_map_k,1,20,0.8671173358850475
0.0,0.0,bt_map_k,2,1,0.7885957813630836
0.0,0.0,bt_map_k,2,2,0.7274749343155634
0.0,0.0,bt_map_k,2,3,0.5993290571444574
0.0,0.0,bt_map_k,2,4,0.6483091446099094
0.0,0.0,bt_map_k,2,5,0.6266212274415167
0.0,0.0,bt_map_k,2,6,0.9218194267087634
0.0,0.0,bt_map_k,2,7,0.9564113524905085
0.0,0.0,bt_map_k,2,8,0.9430927892655824
