tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.6,0.2,multiframe,0.9997882558926366,0.0,11,15,22,2,26,0,"0.9587,0.9851,0.9162,0.9148,0.9899,0.9796,0.9928,0.9995,0.9785,0.9978,0.9941,0.9998,0.9927,0.9974,0.9974,0.9911,0.9713,0.9973,0.9961,0.9949,0.9979,0.9990,0.9936,0.9892,0.9995,0.9989,0.9994,0.9978,0.9959,0.9990,0.9993,0.9995,0.9996,0.9968,0.9983,0.9966,0.9937,0.9992,0.9989,0.9986,0.9993,0.9999,0.9999,0.9975,0.9987,0.9990,0.9996,0.9997,0.9994,0.9998","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.2,bt_laplace_bald,0.5058193581973904,0.0,4,2,44,0,6,0,"0.7475,0.7241,0.7563,0.6648,0.7023,0.7317,0.6286,0.6529,0.7365,0.6624,0.6599,0.6189,0.5491,0.6404,0.7525,0.3746,0.3830,0.3786,0.3847,0.4807,0.5130,0.4973,0.4896,0.4904,0.5148,0.4949,0.5303,0.5272,0.5080,0.5256,0.5465,0.5128,0.5302,0.5164,0.5413,0.5227,0.5211,0.5181,0.5138,0.5243,0.5312,0.5130,0.5351,0.5306,0.5279,0.5104,0.5235,0.5202,0.5435,0.5058","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.2,bt_laplace_bald_k,0.8711487779329065,0.0,26,24,353,3,50,0,"0.7339,0.7843,0.7437,0.8236,0.8413,0.7843,0.8630,0.8013,0.8042,0.8795,0.8152,0.8670,0.8335,0.8059,0.8852,0.8587,0.8662,0.7580,0.7124,0.7843,0.7300,0.7817,0.7302,0.7712,0.7366,0.7527,0.6874,0.6546,0.6507,0.6933,0.7232,0.6701,0.7573,0.6688,0.6712,0.7031,0.8601,0.8675,0.8652,0.8647,0.8742,0.8679,0.8632,0.8684,0.8707,0.8688,0.8691,0.8561,0.8675,0.8711","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.2,bt_laplace_bald_random,0.4574032089575239,0.0,6,4,40,0,50,40,"0.6833,0.5799,0.5352,0.8175,0.7280,0.7070,0.6293,0.6546,0.4994,0.5388,0.5306,0.5373,0.5376,0.5180,0.5070,0.5135,0.5630,0.5334,0.5303,0.5435,0.5619,0.5287,0.5412,0.5828,0.5519,0.5115,0.4699,0.4928,0.4910,0.4563,0.4506,0.4671,0.3870,0.4313,0.3837,0.4247,0.3681,0.4278,0.5119,0.4365,0.4207,0.3688,0.3826,0.3963,0.4335,0.4264,0.4841,0.4702,0.4275,0.4574","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.2,bt_laplace_bald_left,0.7394577441073383,0.0,6,6,38,0,50,38,"0.4341,0.4785,0.5486,0.4649,0.8890,0.7070,0.7482,0.7137,0.7792,0.7561,0.7603,0.7645,0.8012,0.7856,0.7921,0.7983,0.7656,0.7106,0.7914,0.7670,0.7593,0.7621,0.7378,0.7453,0.7447,0.7430,0.7432,0.7425,0.7352,0.7413,0.7456,0.7369,0.7352,0.7225,0.7261,0.7269,0.7328,0.7222,0.7337,0.7335,0.7348,0.7456,0.7415,0.7495,0.7457,0.7394,0.7480,0.7537,0.7559,0.7395","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,multiframe,0.998125078426893,0.0,11,11,20,8,22,0,"0.6267,0.7910,0.7709,0.8580,0.7542,0.9678,0.9797,0.9565,0.9761,0.9837,0.9462,0.9955,0.9934,0.9600,0.9891,0.9612,0.9415,0.9886,0.9984,0.9880,0.9987,0.9949,0.9923,0.9990,0.9898,0.9979,0.9942,0.9996,0.9985,0.9989,0.9982,0.9963,0.9961,0.9387,0.9990,0.9904,0.9986,0.9949,0.9995,0.9997,0.9992,0.9992,0.9989,0.9991,0.9996,0.9962,0.9987,0.9973,0.9984,0.9981","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,bt_laplace_bald,0.5194614691855034,0.0,4,9,35,2,13,0,"0.7586,0.7036,0.6911,0.7048,0.6696,0.6390,0.6606,0.7639,0.4866,0.4807,0.4802,0.4565,0.4743,0.5302,0.4828,0.4549,0.4349,0.4924,0.4545,0.5242,0.4861,0.4957,0.4888,0.4575,0.4931,0.4142,0.4958,0.5014,0.4395,0.8657,0.8923,0.5668,0.6107,0.6527,0.6083,0.5715,0.5939,0.6087,0.6435,0.6183,0.6124,0.8438,0.8348,0.9298,0.8688,0.8336,0.7122,0.6423,0.6398,0.5195","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,bt_laplace_bald_k,0.6053799318420767,0.0,24,26,110,18,50,0,"0.6354,0.6187,0.3972,0.4154,0.4520,0.3906,0.4393,0.4364,0.5200,0.4317,0.4935,0.5243,0.5349,0.5021,0.5690,0.5903,0.5671,0.6018,0.5844,0.5802,0.5462,0.5414,0.5246,0.5558,0.5833,0.5867,0.6037,0.5293,0.6001,0.5635,0.6468,0.6268,0.5012,0.5576,0.5052,0.5280,0.5411,0.5818,0.5677,0.5982,0.5657,0.5542,0.5452,0.5484,0.5517,0.5850,0.6156,0.6105,0.6172,0.6054","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,bt_laplace_bald_random,0.7390695525235108,0.0,16,6,25,3,50,28,"0.6415,0.7420,0.7715,0.7888,0.7009,0.7446,0.6572,0.6816,0.6632,0.6384,0.6598,0.7214,0.6879,0.7010,0.7487,0.7377,0.8026,0.7887,0.7919,0.8264,0.7957,0.8239,0.8624,0.8145,0.8159,0.8287,0.8352,0.8409,0.8331,0.8468,0.8048,0.7743,0.6440,0.7328,0.7390,0.7487,0.8058,0.7932,0.7974,0.8391,0.7711,0.6899,0.6690,0.6779,0.7278,0.7190,0.6978,0.7379,0.7546,0.7391","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
0.6,0.4,bt_laplace_bald_left,0.8101541704479976,0.0,7,7,35,1,50,36,"0.6467,0.7358,0.7303,0.9104,0.9395,0.8980,0.9045,0.8014,0.8199,0.7837,0.8065,0.8525,0.8529,0.8559,0.8661,0.8790,0.8645,0.8129,0.8178,0.8326,0.8124,0.8145,0.8369,0.8279,0.8145,0.8083,0.8120,0.8050,0.8265,0.8209,0.8245,0.8202,0.8159,0.8115,0.7904,0.7992,0.7969,0.7919,0.7885,0.7884,0.7931,0.7913,0.7761,0.8017,0.8044,0.8183,0.8110,0.8195,0.8213,0.8102","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000"
