tau,tau_prime,method,final_cos_mean,final_cos_stderr,n_decisive
0.0,0.0,multiframe_bald,0.7784149127051325,0.035649655735925774,60
0.0,0.0,bt_map,0.49394766352074165,0.06349093738602654,60
0.0,0.0,bt_map_k,0.7547486886774545,0.06679667518739785,60
0.0,0.0,bt_map_random,0.7317998307014264,0.09693491164286608,60
0.0,0.0,bt_map_left,0.6042817973010381,0.1441165946128798,60
0.0,0.2,multiframe_bald,0.8408495257450183,0.028912483531001815,58
0.0,0.2,bt_map,0.4983682554234112,0.1639768061243007,55
0.0,0.2,bt_map_k,0.6587013370971664,0.1471598497179013,60
0.0,0.2,bt_map_random,0.7442749400266253,0.10027114176648047,60
0.0,0.2,bt_map_left,0.647852307227376,0.11691370183708995,60
0.2,0.0,multiframe_bald,0.9912285795308984,0.00233163427254395,36
0.2,0.0,bt_map,0.49394766352074165,0.06349093738602654,60
0.2,0.0,bt_map_k,0.7547486886774545,0.06679667518739785,60
0.2,0.0,bt_map_random,0.7317998307014264,0.09693491164286608,60
0.2,0.0,bt_map_left,0.6042817973010381,0.1441165946128798,60
0.2,0.2,multiframe_bald,0.9915378080219818,0.0028487657179119387,42
0.2,0.2,bt_map,0.4983682554234112,0.1639768061243007,55
0.2,0.2,bt_map_k,0.6587013370971664,0.1471598497179013,60
0.2,0.2,bt_map_random,0.7442749400266253,0.10027114176648047,60
0.2,0.2,bt_map_left,0.647852307227376,0.11691370183708995,60
0.4,0.0,multiframe_bald,0.9819405414285751,0.011613202482448574,30
0.4,0.0,bt_map,0.49394766352074165,0.06349093738602654,60
0.4,0.0,bt_map_k,0.7662802987543255,0.057650651142003954,60
0.4,0.0,bt_map_random,0.7255105811870876,0.10420924541137785,60
0.4,0.0,bt_map_left,0.6042817973010381,0.1441165946128798,60
0.4,0.2,multiframe_bald,0.995831172537511,0.0016173895939709953,31
0.4,0.2,bt_map,0.3548264664560727,0.11406687932920455,54
0.4,0.2,bt_map_k,0.5980711613788516,0.16821291740464064,60
0.4,0.2,bt_map_random,0.7379856905122865,0.10756299389347948,60
0.4,0.2,bt_map_left,0.647852307227376,0.11691370183708995,60
