tau,tau_prime,method,final_cos_mean,final_cos_stderr,n_decisive
0.0,0.0,multiframe_map,0.48406570304228413,0.19445699998507435,60
0.0,0.0,bt_map,0.49696021836455073,0.10890415464338848,60
0.0,0.0,bt_map_k,0.8687657683803788,0.0025080525220682547,60
0.0,0.0,bt_map_random,0.4520251467557371,0.15651280168023976,60
0.0,0.0,bt_map_left,0.6884067920245439,0.07173984534186847,60
0.0,0.2,multiframe_map,0.9345190186792834,0.03243727087479634,58
0.0,0.2,bt_map,0.29434161796661895,0.08373158191736654,56
0.0,0.2,bt_map_k,0.7621702736609796,0.08954187728553438,60
0.0,0.2,bt_map_random,0.33802208469552303,0.15326687919838972,60
0.0,0.2,bt_map_left,0.6884067920245439,0.07173984534186847,60
0.0,0.4,multiframe_map,0.5667781158159858,0.10406228067200148,53
0.0,0.4,bt_map,0.6078298526040714,0.21208037019441306,52
0.0,0.4,bt_map_k,0.7621702736609796,0.08954187728553438,60
0.0,0.4,bt_map_random,0.14651943784841184,0.07988232134580818,60
0.0,0.4,bt_map_left,0.6884067920245439,0.07173984534186847,60
0.0,0.6,multiframe_map,0.5515582298353091,0.044879299661031415,56
0.0,0.6,bt_map,0.5873909687850559,0.20325588349000356,51
0.0,0.6,bt_map_k,0.7817423629283425,0.04053653443038941,60
0.0,0.6,bt_map_random,0.19928997987151176,0.08104426205692399,60
0.0,0.6,bt_map_left,0.74253994563393,0.032469907358853765,60
0.0,0.8,multiframe_map,0.19850959882144215,0.0736819779617027,48
0.0,0.8,bt_map,0.3881507474990493,0.17669800237876263,47
0.0,0.8,bt_map_k,0.633707803437243,0.13572823865406713,60
0.0,0.8,bt_map_random,0.2493452568341208,0.11273028119122676,60
0.0,0.8,bt_map_left,0.8035112864662338,0.06219931812288114,60
0.2,0.0,multiframe_map,0.7105130439448119,0.1622515817941054,52
0.2,0.0,bt_map,0.35821962149003034,0.17013393428476453,58
0.2,0.0,bt_map_k,0.3119504911898202,0.2289805483673748,60
0.2,0.0,bt_map_random,0.4518152378685993,0.18963419766652992,60
0.2,0.0,bt_map_left,0.5478934079843011,0.20255000115953048,60
0.2,0.2,multiframe_map,0.9254001485160602,0.028964501499505965,51
0.2,0.2,bt_map,0.15061267264455327,0.09789952743329484,55
0.2,0.2,bt_map_k,0.3119504911898202,0.2289805483673748,60
