tau,tau_prime,method,final_cos_mean,final_cos_stderr,n_decisive
0.0,0.0,multiframe_map,0.5494503461291379,0.07693321568243733,500
0.0,0.0,bt_map,0.7928394632108473,0.06029510946768952,500
0.0,0.0,bt_map_k,0.7963120274312011,0.08401679226122094,500
0.0,0.0,bt_map_random,0.6488014366240435,0.09064522873638275,500
0.0,0.0,bt_map_left,0.7341753247119722,0.09262593150451953,500
0.0,0.2,multiframe_map,0.5909207201245741,0.08220165346192626,480
0.0,0.2,bt_map,0.7173151379158695,0.05898887512125675,476
0.0,0.2,bt_map_k,0.789669318581695,0.08457262338908265,500
0.0,0.2,bt_map_random,0.5920839968081456,0.09360550529781296,500
0.0,0.2,bt_map_left,0.7603446805056188,0.09207808891050788,500
0.0,0.4,multiframe_map,0.6573986841572533,0.08947327385737003,449
0.0,0.4,bt_map,0.8112792435150382,0.049559386041692556,447
0.0,0.4,bt_map_k,0.7885912763645657,0.053130505459726925,500
0.0,0.4,bt_map_random,0.6200555294115512,0.11346146946080936,500
0.0,0.4,bt_map_left,0.7577842053868832,0.0854215921334208,500
0.2,0.0,multiframe_map,0.8285267248916715,0.06535809862495534,411
0.2,0.0,bt_map,0.8156824798071174,0.0639120231077124,465
0.2,0.0,bt_map_k,0.8930431942166095,0.020817985090892686,500
0.2,0.0,bt_map_random,0.6822407858372086,0.08241270478508737,500
0.2,0.0,bt_map_left,0.7107233616029547,0.09499830042902078,500
0.2,0.2,multiframe_map,0.7729755943061825,0.06881551267497532,441
0.2,0.2,bt_map,0.6303143416493511,0.10601495601295,437
0.2,0.2,bt_map_k,0.8997748072273373,0.03325167407992687,500
0.2,0.2,bt_map_random,0.6860827758970902,0.08184279752219983,500
0.2,0.2,bt_map_left,0.739411191379683,0.08818656545959927,500
0.2,0.4,multiframe_map,0.7364827389113293,0.08125474278364526,414
0.2,0.4,bt_map,0.7273472764488378,0.10717061726336163,415
0.2,0.4,bt_map_k,0.8858869157306064,0.044696596087462515,500
0.2,0.4,bt_map_random,0.5809776608185208,0.10536891334510368,500
0.2,0.4,bt_map_left,0.7347861819629606,0.07770746996256561,500
0.4,0.0,multiframe_map,0.9582540230901021,0.021726441342465586,379
0.4,0.0,bt_map,0.7815278443258304,0.06660915985828254,410
0.4,0.0,bt_map_k,0.9154015483936911,0.02622632718875361,500
0.4,0.0,bt_map_random,0.76716146770682,0.0867862247256141,500
0.4,0.0,bt_map_left,0.657075879007469,0.0981428523605222,500
0.4,0.2,multiframe_map,0.8196290139031099,0.055160975440050615,391
0.4,0.2,bt_map,0.808545466301476,0.05117002896037568,388
0.4,0.2,bt_map_k,0.8815267715283118,0.06358812383678825,500
0.4,0.2,bt_map_random,0.7518904981917707,0.07897302095913974,500
0.4,0.2,bt_map_left,0.7046152878881686,0.09320405189570655,500
0.4,0.4,multiframe_map,0.8478801449290703,0.08103498185045394,367
0.4,0.4,bt_map,0.759880144243465,0.05989742768726637,342
0.4,0.4,bt_map_k,0.8323212065469401,0.05435805918925101,500
0.4,0.4,bt_map_random,0.6607207319782437,0.09781377752775479,500
0.4,0.4,bt_map_left,0.7129191014219702,0.08425470788161601,500
