seed,k,method,logloss,acc,n_train,n_left,n_right,n_indiff,n_incomp
14,500,B1,0.6310404042942284,0.7246,500,246,254,0,0
14,500,B2,0.4643982938333491,0.7716,500,246,254,0,0
14,500,C,0.6308946933882648,0.723,500,252,248,0,0
15,500,A,0.4642211724534143,0.7736,500,230,270,0,0
15,500,B1,0.6314673179467307,0.7184,500,230,270,0,0
15,500,B2,0.4642287690176292,0.774,500,230,270,0,0
15,500,C,0.6305281338184392,0.719,500,259,241,0,0
16,500,A,0.4663948905434686,0.7756,500,249,251,0,0
16,500,B1,0.6307132387324358,0.7272,500,249,251,0,0
16,500,B2,0.4663671617691196,0.7756,500,249,251,0,0
16,500,C,0.6307028404900455,0.7074,500,248,252,0,0
17,500,A,0.4649733988665464,0.7736,500,254,246,0,0
17,500,B1,0.6307062816124571,0.7298,500,254,246,0,0
17,500,B2,0.4650083094329813,0.7736,500,254,246,0,0
17,500,C,0.6305665475789385,0.7198,500,254,246,0,0
18,500,A,0.4756756163477621,0.7736,500,270,230,0,0
18,500,B1,0.6306065587153922,0.7206,500,270,230,0,0
18,500,B2,0.4755767123207839,0.7736,500,270,230,0,0
18,500,C,0.6304976153854543,0.7166,500,232,268,0,0
19,500,A,0.4651171613222343,0.7748,500,246,254,0,0
19,500,B1,0.6307464838602753,0.7042,500,246,254,0,0
19,500,B2,0.46510562338061884,0.7746,500,246,254,0,0
19,500,C,0.6306216292408692,0.721,500,258,242,0,0
