tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.0,0.0,multiframe,0.7868614823489234,0.10633854229991535,20,20,0,0,40,0,"0.5579,0.6585,0.5803,0.6698,0.6045,0.5961,0.4771,0.5376,0.6076,0.4652,0.6085,0.6738,0.7360,0.7621,0.6674,0.5177,0.7603,0.6022,0.8121,0.7869","0.1283,0.1254,0.0832,0.0554,0.0811,0.1568,0.1051,0.1275,0.0131,0.1065,0.1250,0.1571,0.1189,0.1384,0.1436,0.1015,0.0200,0.0834,0.0363,0.1063"
0.0,0.0,bt_laplace_bald,0.7283965716364635,0.06029988060626398,20,20,0,0,40,0,"0.5881,0.4175,0.3407,0.4150,0.4759,0.5432,0.5642,0.5842,0.5613,0.6154,0.6544,0.6832,0.8476,0.6349,0.7166,0.8022,0.6650,0.6553,0.6957,0.7284","0.0651,0.0582,0.1145,0.1811,0.1608,0.1626,0.1365,0.1788,0.1484,0.1137,0.0874,0.1290,0.0328,0.2283,0.1534,0.0940,0.1011,0.0061,0.0205,0.0603"
0.0,0.0,bt_laplace_bald_k,0.802966350444321,0.07227208221817438,23,17,0,0,40,0,"0.6975,0.5268,0.6715,0.4821,0.5560,0.5436,0.7080,0.5940,0.7195,0.7817,0.7433,0.7536,0.8027,0.7667,0.7968,0.8105,0.7945,0.8182,0.7950,0.8030","0.0665,0.1397,0.0972,0.1695,0.0103,0.1173,0.0243,0.1384,0.0843,0.0548,0.1119,0.0829,0.0883,0.0936,0.0831,0.0820,0.0614,0.0644,0.1080,0.0723"
0.0,0.0,bt_laplace_bald_random,0.9092335831348934,0.020975772126999477,24,16,0,0,40,0,"0.5751,0.6751,0.6055,0.5759,0.6526,0.5955,0.6508,0.7094,0.5624,0.6285,0.5871,0.6869,0.6936,0.6777,0.6870,0.7539,0.8027,0.8705,0.8726,0.9092","0.0852,0.0191,0.0676,0.0280,0.0097,0.0741,0.0331,0.1333,0.0818,0.0671,0.1141,0.0458,0.0257,0.0500,0.0582,0.0503,0.0683,0.0220,0.0244,0.0210"
0.0,0.0,bt_laplace_bald_left,0.7606448965479607,0.01178279846344571,19,21,0,0,40,0,"0.6128,0.5361,0.4510,0.5753,0.5236,0.5159,0.7016,0.6768,0.6763,0.7289,0.6812,0.7573,0.7252,0.7103,0.6654,0.6747,0.6940,0.7572,0.7819,0.7606","0.1608,0.1105,0.0601,0.0603,0.1762,0.0960,0.0821,0.0190,0.0377,0.0325,0.0093,0.0825,0.0959,0.0824,0.1196,0.1578,0.1691,0.0845,0.0527,0.0118"
0.0,0.2,multiframe,0.45707316778323837,0.07556822426520238,23,16,0,1,39,0,"0.5847,0.5553,0.5700,0.4894,0.6281,0.7473,0.5584,0.5199,0.5349,0.5514,0.5236,0.7530,0.8035,0.5882,0.5698,0.6756,0.6858,0.6253,0.6197,0.4571","0.0324,0.1559,0.0877,0.1333,0.0679,0.0212,0.0645,0.1073,0.1383,0.0681,0.0880,0.0836,0.0657,0.0848,0.1021,0.1024,0.0317,0.1414,0.1322,0.0756"
0.0,0.2,bt_laplace_bald,0.5090360867246037,0.13898346931751113,25,14,0,1,39,0,"0.6204,0.5952,0.7272,0.7415,0.6305,0.4938,0.5552,0.5284,0.5150,0.4383,0.4477,0.5203,0.4678,0.5351,0.4805,0.4466,0.4787,0.5148,0.5080,0.5090","0.0519,0.1021,0.0973,0.1491,0.0837,0.1568,0.1209,0.0975,0.1398,0.1131,0.1276,0.1076,0.1168,0.1596,0.1153,0.1301,0.1033,0.1479,0.1607,0.1390"
0.0,0.2,bt_laplace_bald_k,0.697836859971326,0.028083246174239955,20,20,0,1,40,0,"0.5554,0.6751,0.5862,0.7019,0.6570,0.5811,0.5005,0.6153,0.7223,0.6682,0.5616,0.5376,0.6132,0.6376,0.7077,0.6121,0.7133,0.6753,0.6254,0.6978","0.1372,0.0426,0.1416,0.0623,0.0342,0.0261,0.0391,0.0731,0.0418,0.0644,0.0981,0.1163,0.0245,0.0713,0.0104,0.0651,0.0044,0.0078,0.0156,0.0281"
0.0,0.2,bt_laplace_bald_random,0.7456679510886364,0.12193519481796473,20,20,0,0,40,0,"0.5740,0.7119,0.6828,0.4752,0.5907,0.6665,0.5392,0.5801,0.5863,0.6711,0.7238,0.7203,0.5838,0.6008,0.6725,0.7199,0.7291,0.6865,0.7225,0.7457","0.0968,0.0826,0.0990,0.0594,0.0166,0.0541,0.0770,0.0499,0.0830,0.0213,0.0548,0.0206,0.0160,0.0004,0.0435,0.0621,0.1047,0.0702,0.0971,0.1219"
0.0,0.2,bt_laplace_bald_left,0.6979935444266101,0.05270136453519116,24,14,0,2,40,2,"0.5124,0.5918,0.4429,0.4147,0.6501,0.7068,0.7009,0.7475,0.7008,0.7822,0.7095,0.7666,0.7141,0.7694,0.7940,0.8012,0.7480,0.7239,0.7116,0.6980","0.1225,0.0758,0.1152,0.1203,0.0553,0.0984,0.0331,0.0604,0.0830,0.0294,0.0020,0.0547,0.0900,0.0540,0.0698,0.0453,0.0481,0.0851,0.1201,0.0527"
