tau,tau_prime,method,trial,timestep,cos_sim,l1_error,holdout_ll,n_left,n_right,n_indifferent,n_incomparable,n_attempts
0.0,0.0,multiframe,0,1,0.6701539942807695,0.7446050793587893,0.7116116786389465,,,,,
0.0,0.0,multiframe,0,2,0.656108314995144,0.8088655127164172,0.7131993040816405,,,,,
0.0,0.0,multiframe,0,3,0.7147958832863114,0.7540390823623493,0.6965694526747579,,,,,
0.0,0.0,multiframe,0,4,0.8725108225684622,0.5512086811945278,0.6976346047349281,,,,,
0.0,0.0,multiframe,0,5,0.5923518316494126,0.8250788817796655,0.7074770954110545,,,,,
0.0,0.0,multiframe,0,6,0.6784796036475712,0.7869821220611362,0.7054879454884015,,,,,
0.0,0.0,multiframe,0,7,0.745232559696438,0.6697457875998667,0.6911866524504242,,,,,
0.0,0.0,multiframe,0,8,0.7468188173905369,0.7487962064955849,0.705132865155986,,,,,
0.0,0.0,multiframe,0,9,0.6937966205057566,0.8023925593389427,0.7072052323216633,,,,,
0.0,0.0,multiframe,0,10,0.5700647816859938,0.9370584369313223,0.7160830480421088,,,,,
0.0,0.0,multiframe,0,11,0.7614125112667368,0.7760105469391028,0.7039533235301948,,,,,
0.0,0.0,multiframe,0,12,0.7256333792568042,0.7387404396454591,0.7084073127172972,,,,,
0.0,0.0,multiframe,0,13,0.6956601290398751,0.7578286462433526,0.7082134581038584,,,,,
0.0,0.0,multiframe,0,14,0.7227058318925432,0.7476483100973719,0.698332345747572,,,,,
0.0,0.0,multiframe,0,15,0.7741203132075517,0.6928506392978624,0.7107222390057415,,,,,
0.0,0.0,multiframe,0,16,0.708776129520736,0.7339603370754471,0.7023982731895652,,,,,
0.0,0.0,multiframe,0,17,0.7222829165950446,0.7777985494216735,0.7130001694230111,,,,,
0.0,0.0,multiframe,0,18,0.8781784635165298,0.5105519693917029,0.7045124843375783,,,,,
0.0,0.0,multiframe,0,19,0.5774326254115848,0.9685447928521642,0.7089606155682006,,,,,
0.0,0.0,multiframe,0,20,0.7980146153469803,0.6321406131181794,0.7080634500142026,,,,,
0.0,0.0,multiframe,0,21,0.8147820756976311,0.6197313656121137,0.7006470852353128,,,,,
0.0,0.0,multiframe,0,22,0.7239123549675537,0.7450373066755187,0.7203269172882709,,,,,
0.0,0.0,multiframe,0,23,0.7912436984359362,0.623141449356722,0.7016589142129023,,,,,
0.0,0.0,multiframe,0,24,0.7580844275558455,0.6897888798644367,0.7056529858295144,,,,,
0.0,0.0,multiframe,0,25,0.8203322256779789,0.6093273468734035,0.6890407859183793,,,,,
0.0,0.0,multiframe,0,26,0.6643714830556829,0.834897465513907,0.725642463065014,,,,,
0.0,0.0,multiframe,0,27,0.7423095042915878,0.7494070239657652,0.7023748512274234,,,,,
0.0,0.0,multiframe,0,28,0.7324160118760189,0.7524332496026989,0.6861325067538862,,,,,
0.0,0.0,multiframe,0,29,0.7191407658336826,0.7337826569389625,0.6920173063133211,,,,,
0.0,0.0,multiframe,0,30,0.7428887420807182,0.7227451567185634,0.7068668547793671,,,,,
0.0,0.0,multiframe,0,31,0.7877652911748381,0.73535024427178,0.6852721818656964,,,,,
