tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,learning_curve_mean,learning_curve_stderr
0.0,0.0,multiframe,0.649219180787128,0.04413035970409376,85,65,0,0,150,0,"0.6162,0.5842,0.6658,0.7138,0.6203,0.6967,0.6130,0.6678,0.6152,0.6060,0.6346,0.6281,0.6805,0.6738,0.6132,0.7083,0.5965,0.6730,0.5380,0.6836,0.6672,0.6890,0.7098,0.6346,0.6652,0.7463,0.6288,0.6462,0.7190,0.6492","0.0237,0.0460,0.0629,0.0423,0.0345,0.0437,0.0364,0.0508,0.0519,0.0660,0.0721,0.0826,0.0265,0.0252,0.0516,0.0378,0.0595,0.0606,0.0561,0.0591,0.0516,0.0475,0.0779,0.0310,0.0399,0.0718,0.0401,0.0441,0.0509,0.0441"
0.0,0.0,bt_laplace_bald,0.735363027380785,0.07371517681468759,71,79,0,0,150,0,"0.5945,0.5792,0.4623,0.5839,0.7181,0.6865,0.6692,0.6217,0.6490,0.6505,0.6624,0.6440,0.6436,0.6467,0.6639,0.7101,0.7213,0.7436,0.7561,0.7592,0.7696,0.7380,0.7302,0.7262,0.7143,0.7277,0.7298,0.7119,0.7246,0.7354","0.0374,0.0584,0.0934,0.1082,0.0581,0.0677,0.0621,0.0492,0.0612,0.0750,0.0814,0.0688,0.0595,0.0614,0.0566,0.0617,0.0625,0.0547,0.0590,0.0650,0.0731,0.0817,0.0876,0.0760,0.0895,0.0871,0.0853,0.0770,0.0738,0.0737"
0.0,0.0,bt_laplace_bald_k,0.6584316478697533,0.05048175696733776,127,123,0,0,250,0,"0.6501,0.6093,0.5084,0.5574,0.4638,0.5550,0.5603,0.5665,0.5822,0.5737,0.5639,0.5425,0.5611,0.5385,0.5365,0.5375,0.5481,0.5436,0.5450,0.5423,0.5377,0.5551,0.5417,0.5530,0.5711,0.5738,0.5856,0.6070,0.5909,0.6112,0.6254,0.6266,0.6186,0.6395,0.6246,0.6271,0.6356,0.6296,0.6200,0.6281,0.6248,0.6205,0.6068,0.6171,0.6211,0.6179,0.6301,0.6413,0.6563,0.6584","0.0299,0.0622,0.0801,0.0932,0.0444,0.0463,0.0587,0.0398,0.0469,0.0587,0.0335,0.0391,0.0319,0.0425,0.0433,0.0443,0.0399,0.0459,0.0436,0.0411,0.0398,0.0403,0.0468,0.0412,0.0379,0.0318,0.0319,0.0302,0.0293,0.0255,0.0287,0.0279,0.0224,0.0254,0.0206,0.0318,0.0389,0.0324,0.0364,0.0356,0.0332,0.0434,0.0361,0.0383,0.0415,0.0365,0.0354,0.0417,0.0423,0.0505"
0.0,0.0,bt_laplace_bald_random,0.7467910773279932,0.07879931784571051,63,87,0,0,150,0,"0.5910,0.6030,0.5127,0.6124,0.6895,0.7849,0.8027,0.8484,0.8759,0.8722,0.8930,0.8887,0.8558,0.8507,0.8309,0.8470,0.8325,0.8475,0.8296,0.8371,0.8592,0.8329,0.8044,0.8089,0.7712,0.7685,0.7753,0.7647,0.7382,0.7468","0.0330,0.0308,0.0590,0.0581,0.0756,0.0228,0.0288,0.0179,0.0209,0.0326,0.0371,0.0313,0.0470,0.0515,0.0521,0.0473,0.0487,0.0476,0.0453,0.0436,0.0449,0.0413,0.0464,0.0517,0.0628,0.0731,0.0720,0.0713,0.0883,0.0788"
0.0,0.0,bt_laplace_bald_left,0.7886296511412796,0.05467150047525879,85,65,0,0,150,0,"0.6462,0.5902,0.6596,0.6255,0.5694,0.7425,0.6761,0.6595,0.6723,0.6806,0.7263,0.7198,0.7308,0.7221,0.6846,0.6827,0.6702,0.7007,0.7037,0.7623,0.7416,0.7681,0.7568,0.7821,0.7944,0.7911,0.7972,0.7897,0.7942,0.7886","0.0387,0.0557,0.0452,0.0706,0.1008,0.0590,0.0936,0.1160,0.1247,0.1148,0.0891,0.0938,0.1046,0.0985,0.1089,0.1096,0.1146,0.1016,0.0970,0.0693,0.0720,0.0717,0.0799,0.0727,0.0690,0.0724,0.0646,0.0575,0.0544,0.0547"
0.2,0.0,multiframe,0.9786308506514724,0.018156177704880642,40,32,78,0,72,0,"0.7371,0.8062,0.8118,0.8897,0.9244,0.9379,0.8989,0.9730,0.9554,0.9416,0.9848,0.9703,0.9670,0.9594,0.9821,0.9804,0.8156,0.9798,0.9912,0.9325,0.9940,0.9231,0.9949,0.9589,0.9294,0.9924,0.9893,0.9830,0.9559,0.9786","0.0407,0.0509,0.0435,0.0731,0.0278,0.0268,0.0629,0.0065,0.0145,0.0350,0.0059,0.0198,0.0163,0.0309,0.0119,0.0114,0.0862,0.0118,0.0062,0.0583,0.0030,0.0576,0.0015,0.0332,0.0615,0.0034,0.0075,0.0100,0.0380,0.0182"
0.2,0.0,bt_laplace_bald,0.5873496466638866,0.053373413773765595,71,70,9,0,141,0,"0.6364,0.6487,0.6743,0.5975,0.4605,0.6022,0.5820,0.5563,0.5671,0.6122,0.6443,0.5971,0.6182,0.5896,0.6090,0.6290,0.6245,0.6360,0.6236,0.5958,0.5617,0.5867,0.5910,0.5805,0.5846,0.6062,0.5995,0.5910,0.5903,0.5873","0.0228,0.0361,0.0875,0.1169,0.1070,0.0935,0.1025,0.0916,0.0897,0.0613,0.0699,0.0541,0.0734,0.0621,0.0610,0.0757,0.0783,0.0917,0.0983,0.0962,0.0931,0.0824,0.0767,0.0563,0.0446,0.0478,0.0571,0.0547,0.0490,0.0534"
0.2,0.0,bt_laplace_bald_k,0.7316452731339619,0.05944053230797499,106,144,10,0,250,0,"0.5927,0.5365,0.5724,0.6348,0.7146,0.7872,0.7834,0.7700,0.7499,0.7482,0.7109,0.7116,0.7177,0.7420,0.7215,0.7544,0.7540,0.7034,0.7256,0.7135,0.6929,0.6895,0.7146,0.7219,0.7031,0.7204,0.7214,0.6912,0.7147,0.7024,0.6955,0.6950,0.6923,0.7050,0.7090,0.7100,0.7377,0.7485,0.7426,0.7265,0.7290,0.7393,0.7507,0.7533,0.7472,0.7512,0.7354,0.7404,0.7407,0.7316","0.0552,0.0978,0.0726,0.0602,0.0364,0.0571,0.0581,0.0756,0.0679,0.0642,0.0716,0.0772,0.0751,0.0545,0.0716,0.0643,0.0634,0.0764,0.0627,0.0531,0.0674,0.0610,0.0584,0.0522,0.0538,0.0493,0.0486,0.0611,0.0542,0.0532,0.0600,0.0644,0.0614,0.0582,0.0605,0.0609,0.0504,0.0477,0.0478,0.0532,0.0529,0.0512,0.0479,0.0485,0.0508,0.0515,0.0554,0.0542,0.0597,0.0594"
0.2,0.0,bt_laplace_bald_random,0.5950026850412217,0.06387473318335676,66,79,5,0,150,5,"0.6314,0.6897,0.7676,0.6261,0.5431,0.5675,0.5330,0.4507,0.4832,0.4525,0.4624,0.4015,0.4613,0.4474,0.4663,0.4697,0.4539,0.4695,0.4908,0.4947,0.5581,0.5766,0.5911,0.5697,0.5859,0.6143,0.6520,0.6582,0.6464,0.5950","0.0194,0.0245,0.0306,0.1036,0.0863,0.0918,0.0957,0.0706,0.0711,0.0662,0.0693,0.0776,0.0658,0.0590,0.0612,0.0762,0.0711,0.0852,0.0760,0.0757,0.0866,0.0879,0.0871,0.0775,0.0775,0.0819,0.0776,0.0737,0.0647,0.0639"
0.2,0.0,bt_laplace_bald_left,0.61418841951437,0.06850469163389422,71,71,8,0,150,8,"0.5798,0.6313,0.5597,0.3821,0.5527,0.6149,0.6511,0.6423,0.6324,0.6413,0.6282,0.6323,0.6297,0.6351,0.6536,0.6415,0.6365,0.6655,0.6427,0.6253,0.6034,0.6202,0.6130,0.6215,0.6399,0.6497,0.6231,0.6087,0.6132,0.6142","0.0342,0.0457,0.0498,0.0763,0.0523,0.0779,0.0940,0.0946,0.0871,0.0949,0.0867,0.0884,0.0753,0.0637,0.0648,0.0689,0.0682,0.0639,0.0614,0.0659,0.0663,0.0592,0.0573,0.0638,0.0645,0.0684,0.0675,0.0737,0.0712,0.0685"
