tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable
0.4,0.4,bt_laplace_bald_k,0.8378746509361484,0.08971416949369393,26,34,7,10
0.4,0.4,bt_laplace_bald_random,0.8347777618711993,0.04623584016603308,25,18,11,6
0.4,0.4,bt_laplace_bald_left,0.8067925387229242,0.07315231021937844,14,29,6,11
0.4,0.6,multiframe,0.9848695320865678,0.0093472297053235,15,15,27,3
0.4,0.6,bt_laplace_bald,0.8652993422946659,0.07976119146510911,26,23,6,5
0.4,0.6,bt_laplace_bald_k,0.6830415057109714,0.11227612088232927,26,34,18,16
0.4,0.6,bt_laplace_bald_random,0.7419733593858702,0.08246555778937738,21,20,12,7
0.4,0.6,bt_laplace_bald_left,0.6943895154331522,0.050424302610145445,17,26,7,10
0.4,0.8,multiframe,0.9787527709021825,0.010500720407094122,8,11,34,7
0.4,0.8,bt_laplace_bald,0.7715835793764757,0.06461947646229908,24,17,9,10
0.4,0.8,bt_laplace_bald_k,0.7114030279613357,0.1019561996326425,29,31,11,11
0.4,0.8,bt_laplace_bald_random,0.6863952076274061,0.06494581838304674,22,23,8,7
0.4,0.8,bt_laplace_bald_left,0.6683465188368359,0.052741727003064454,18,25,10,7
0.6,0.0,multiframe,0.9894548072481107,0.004099093349854787,10,11,39,0
0.6,0.0,bt_laplace_bald,0.7137808025475737,0.0630527639632475,11,8,41,0
0.6,0.0,bt_laplace_bald_k,0.60790036086379,0.03678965640358801,29,31,143,0
0.6,0.0,bt_laplace_bald_random,0.9298181231584532,0.014211018237111949,16,7,37,0
0.6,0.0,bt_laplace_bald_left,0.820906077094187,0.0817893522745991,4,11,45,0
0.6,0.2,multiframe,0.9806163232281487,0.013580160405967571,13,15,28,4
0.6,0.2,bt_laplace_bald,0.5074905144698515,0.02860721792688714,8,10,41,1
0.6,0.2,bt_laplace_bald_k,0.68013846281015,0.08146869605685873,27,33,129,6
0.6,0.2,bt_laplace_bald_random,0.6689766955756288,0.09355047336484013,14,6,38,2
0.6,0.2,bt_laplace_bald_left,0.7690044322747897,0.08318649317905269,8,10,39,3
0.6,0.4,multiframe,0.9811077011357302,0.012451524729780216,8,15,33,4
0.6,0.4,bt_laplace_bald,0.5900370426841876,0.07708875854229275,9,8,41,2
0.6,0.4,bt_laplace_bald_k,0.6649855848880536,0.08361963990046756,28,32,128,8
0.6,0.4,bt_laplace_bald_random,0.7452286064098458,0.07172449956018209,16,6,35,3
0.6,0.4,bt_laplace_bald_left,0.6678325724114355,0.09913243150955643,10,7,36,7
0.6,0.6,multiframe,0.9964354773875185,0.00041961901895084023,11,10,32,7
0.6,0.6,bt_laplace_bald,0.6102503183573725,0.07220215971303777,7,7,43,3
0.6,0.6,bt_laplace_bald_k,0.7145202851560496,0.08833854428594645,31,29,125,13
0.6,0.6,bt_laplace_bald_random,0.7461083637198594,0.08692085271327891,12,9,35,4
0.6,0.6,bt_laplace_bald_left,0.7446046835978414,0.1085479407884197,12,8,34,6
0.6,0.8,multiframe,0.9396511679516432,0.029855179260431765,11,10,33,6
0.6,0.8,bt_laplace_bald,0.7033425770529811,0.0237077707233831,8,6,41,5
0.6,0.8,bt_laplace_bald_k,0.6051546276821682,0.004025997707472252,31,29,183,12
0.6,0.8,bt_laplace_bald_random,0.7874604562675699,0.1054149453074814,15,6,36,3
0.6,0.8,bt_laplace_bald_left,0.6511011813508158,0.0795105073139008,7,6,42,5
0.8,0.0,multiframe,0.7267740930392169,0.10539653170728931,0,0,60,0
0.8,0.0,bt_laplace_bald,0.8007357215998044,0.06706470157270115,0,0,60,0
0.8,0.0,bt_laplace_bald_k,0.796951301897189,0.0632588457853155,7,8,1485,0
0.8,0.0,bt_laplace_bald_random,0.6803907247250415,0.08930225492250611,0,0,60,0
0.8,0.0,bt_laplace_bald_left,0.7634204617241803,0.07204995215591464,0,0,60,0
0.8,0.2,multiframe,0.7241127961935766,0.10402326963781136,0,0,60,0
0.8,0.2,bt_laplace_bald,0.8094331685167221,0.07152935110668802,0,0,60,0
0.8,0.2,bt_laplace_bald_k,0.7970913209978487,0.06333871571783149,4,6,1489,1
0.8,0.2,bt_laplace_bald_random,0.6211370819638248,0.05237543204126512,0,0,60,0
0.8,0.2,bt_laplace_bald_left,0.7434139474998066,0.06381696646841688,0,0,60,0
0.8,0.4,multiframe,0.7546988159741556,0.11545096092953264,0,0,60,0
0.8,0.4,bt_laplace_bald,0.7635686089335922,0.06922806992441491,0,0,60,0
0.8,0.4,bt_laplace_bald_k,0.7698003971013908,0.0612129326628556,4,7,1486,3
0.8,0.4,bt_laplace_bald_random,0.5572549022595336,0.05599950577637729,0,0,60,0
0.8,0.4,bt_laplace_bald_left,0.7450891241709569,0.06462825537578017,0,0,60,0
0.8,0.6,multiframe,0.8820634309961172,0.012725510835466068,0,0,60,0
0.8,0.6,bt_laplace_bald,0.8247357295312628,0.04635134837156467,0,1,59,0
0.8,0.6,bt_laplace_bald_k,0.8445207665649059,0.03662461485602986,2,4,1494,0
0.8,0.6,bt_laplace_bald_random,0.6698383782785496,0.08237168159212221,0,0,60,0
0.8,0.6,bt_laplace_bald_left,0.7571051051482632,0.054900238200632376,0,0,60,0
0.8,0.8,multiframe,0.9110459622340561,0.02739674681146976,0,0,60,0
0.8,0.8,bt_laplace_bald,0.8283509761119451,0.048973928293884236,0,1,59,0
0.8,0.8,bt_laplace_bald_k,0.8462792511603694,0.03761612205708092,2,3,1494,1
0.8,0.8,bt_laplace_bald_random,0.7630549807525085,0.11874174323801567,0,0,60,0
0.8,0.8,bt_laplace_bald_left,0.7813111261662935,0.06491730436246977,0,0,60,0
