person,15,30,45,60+
D4,10,5,0,-10
R3,30,30,15,0
V1,50,50,30,30
V3,60,20,0,-20
V6,25,15,5,0
R1,30,30,15,15
F3,30,10,0,-5
R8,10,10,10,30
F2,30,0,0,-10
D2,4,4,4,1
R5,30,20,10,0
R7,52,51,30,-20
F1,4,3,2,1
