personID,num_Q,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,AorB,model_prediction,model_score_A,model_score_B
R3,45,0,2,0,2,3,2,0,4,0,5,1,11,0,B,A,85.0,75.0
R5,8,0,4,1,0,5,12,3,1,2,4,0,5,1,A,B,22.5,31.0
R5,9,1,2,2,3,0,11,1,0,1,3,1,2,0,A,B,37.0,37.5
R5,12,0,1,0,2,0,8,1,3,1,3,0,12,3,B,A,30.5,19.5
R5,14,1,4,1,0,1,1,1,1,0,4,1,4,1,B,A,37.0,28.5
R5,16,1,1,1,4,1,6,3,2,0,3,0,2,2,A,B,10.5,20.5
R5,28,0,3,2,5,1,1,3,0,2,1,3,1,2,A,B,15.0,18.0
R5,29,1,4,1,3,1,0,2,3,0,1,3,11,0,A,B,36.0,48.0
R5,36,1,1,2,0,3,9,2,3,1,2,2,1,1,A,B,23.0,34.0
R5,37,0,3,0,3,0,5,1,4,1,0,2,2,0,A,B,35.0,47.5
R5,44,0,1,2,5,0,3,1,4,1,4,0,2,3,B,A,30.0,17.5
R7,7,0,0,1,3,0,7,0,3,0,3,1,2,0,A,B,107.0,122.0
R7,10,0,0,2,2,1,4,0,2,0,0,4,7,1,A,B,107.0,161.0
R7,13,1,4,0,1,1,11,0,1,0,1,4,5,0,B,A,177.0,152.0
R7,15,1,1,1,1,1,11,1,4,2,4,0,5,1,B,A,156.0,116.0
R7,21,1,2,1,5,1,4,0,0,1,5,1,2,1,B,A,107.0,96.0
R7,23,0,1,2,3,1,7,1,2,1,1,2,6,1,A,B,126.0,151.0
R7,24,0,0,1,5,0,11,1,1,2,5,1,5,2,B,A,111.0,95.0
R7,26,1,2,2,3,1,8,2,4,0,2,2,2,1,A,B,125.0,126.0
R7,29,1,3,2,2,3,1,0,4,0,4,1,6,0,A,B,132.0,137.0
R7,30,1,0,1,1,3,9,2,1,2,3,1,11,1,A,B,140.0,141.0
R7,31,1,2,1,1,2,10,1,2,2,2,1,10,0,B,A,161.0,147.0
R7,35,1,2,0,1,0,9,2,2,1,5,0,8,2,B,A,120.0,95.0
R7,40,1,4,1,5,0,0,2,0,0,0,2,8,1,A,B,110.0,151.0
R7,41,1,3,1,0,1,12,2,3,0,4,1,3,0,B,A,150.0,112.0
R7,43,1,0,0,0,5,4,2,2,0,0,1,9,2,A,B,115.0,140.0
R7,44,0,1,2,3,1,7,1,4,0,0,0,0,2,A,B,126.0,135.0
R8,4,1,0,1,1,2,0,3,4,1,4,0,6,3,A,B,150.0,190.0
R8,6,0,3,2,4,1,7,1,1,1,5,1,11,3,A,B,170.0,190.0
R8,10,1,2,2,5,1,5,0,0,1,5,0,8,3,A,B,190.0,220.0
R8,12,0,0,1,0,5,2,0,0,1,4,1,1,3,A,B,120.0,180.0
R8,13,1,4,0,4,0,5,2,1,1,1,3,7,0,B,A,170.0,110.0
R8,16,0,0,0,3,1,7,3,0,1,0,2,10,3,A,B,140.0,150.0
R8,23,0,3,0,4,0,8,1,4,1,3,1,6,0,B,A,170.0,90.0
R8,28,0,4,1,1,2,9,0,3,0,5,1,12,2,A,B,90.0,170.0
R8,37,1,0,2,5,1,8,2,2,2,4,0,6,1,A,B,200.0,230.0
R8,38,1,0,0,3,0,0,2,4,0,5,0,12,0,A,B,170.0,210.0
R8,39,1,0,0,5,1,7,0,1,1,3,0,4,3,A,B,160.0,170.0
R8,40,1,0,2,0,3,1,3,1,1,5,0,3,1,A,B,180.0,190.0
R8,41,1,2,2,5,1,9,1,1,1,5,1,9,0,B,A,190.0,150.0
R8,45,0,3,0,3,1,0,1,2,0,4,1,0,3,A,B,100.0,180.0
R8,46,1,0,1,2,3,6,2,4,2,2,0,8,0,A,B,120.0,170.0
V1,2,1,1,2,2,0,10,2,4,1,0,5,9,3,A,B,140.0,225.0
V1,4,1,3,2,0,3,1,1,3,2,3,1,4,3,B,A,265.0,170.0
V1,9,0,2,2,1,2,11,1,2,1,0,2,9,1,A,B,160.0,175.0
V1,11,0,1,0,2,3,1,1,4,0,3,0,6,1,B,A,180.0,110.0
V1,13,0,1,1,3,0,12,2,1,0,4,0,0,2,B,A,140.0,120.0
V1,18,0,1,2,1,3,6,0,0,2,0,1,9,2,B,A,220.0,155.0
V1,23,1,1,2,2,2,8,1,3,2,3,0,2,1,A,B,160.0,190.0
V1,25,1,4,1,1,3,2,0,2,2,0,4,1,2,B,A,250.0,235.0
V1,26,1,3,0,2,3,2,1,2,0,2,2,10,1,B,A,190.0,100.0
V1,3,0,0,1,1,1,8,2,0,2,0,6,12,3,A,B,140.0,215.0
V1,5,1,2,2,1,0,8,0,2,0,3,1,12,0,B,A,160.0,100.0
V1,6,0,2,1,5,0,0,0,2,0,2,2,9,3,B,A,200.0,80.0
V1,7,1,4,1,4,0,0,2,2,1,4,1,9,1,B,A,190.0,160.0
V1,9,1,1,0,3,1,10,2,0,0,4,0,2,2,A,B,80.0,100.0
V1,12,0,4,1,3,0,4,3,2,0,3,1,3,0,B,A,170.0,120.0
V1,14,0,2,1,0,6,0,3,3,2,2,0,0,0,B,A,255.0,210.0
V3,1,0,0,2,0,0,0,0,4,0,0,5,2,1,,A,170.0,107.0
V3,6,1,3,0,3,0,8,0,3,2,5,1,8,1,B,A,103.0,58.0
V3,10,0,0,2,4,1,0,0,3,0,3,1,10,1,B,A,140.0,65.0
V3,13,0,2,1,4,1,3,3,4,1,2,1,5,3,B,A,33.0,30.0
V3,24,1,4,1,5,0,0,0,1,2,4,1,4,2,B,A,105.0,64.0
V3,25,0,0,0,1,4,11,2,4,1,4,1,6,2,B,A,86.0,41.0
V3,35,1,3,2,2,2,0,0,2,1,1,4,8,0,A,B,160.0,163.0
V3,45,0,1,0,0,7,4,2,3,0,2,2,12,1,B,A,114.0,82.0
V5,1,1,0,2,4,0,5,0,4,1,5,1,7,3,A,B,77.0,85.0
V5,7,1,1,2,1,2,9,3,2,1,1,4,12,2,A,B,120.0,130.0
V5,16,1,0,1,2,1,1,2,4,1,3,1,4,2,A,B,70.0,80.0
V5,22,0,1,1,5,0,10,3,2,0,3,1,8,2,B,A,77.0,70.0
V5,27,1,0,2,2,0,3,1,0,2,4,0,8,2,A,B,72.0,77.0
V5,39,1,0,2,1,2,6,1,4,2,4,0,0,1,B,A,120.0,97.0
V5,41,1,0,2,1,0,11,3,0,2,2,2,11,2,B,A,112.0,110.0
V6,4,1,2,2,0,6,6,1,3,2,5,1,2,1,B,A,55.0,44.0
V6,8,1,3,0,1,4,4,2,2,0,1,1,7,0,A,B,32.0,55.0
V6,11,1,3,2,5,0,2,3,4,2,3,0,2,3,A,B,29.0,32.0
V6,12,0,3,1,2,2,6,1,0,2,4,1,0,0,A,B,48.0,65.0
V6,14,0,3,1,1,3,7,2,4,0,3,1,5,3,B,A,41.0,33.0
