personID,food,size_A,access_A,income_A,poverty_A,last_donation_A,total_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,total_donation_B,dist_B,num_Q,AorB
D2,0,2,2,4,1,8,8,1,2,0,3,1,2,73,3,38,A
D2,0,2,0,4,0,10,67,2,0,0,3,1,8,20,1,39,A
D2,1,1,0,4,1,5,15,2,2,1,4,1,0,0,1,40,B
D2,0,4,0,5,1,5,66,2,1,0,2,3,9,46,1,41,B
D2,0,3,2,1,0,4,18,1,1,2,1,0,6,31,3,42,A
D2,1,4,2,2,1,11,23,2,1,2,3,1,8,15,1,43,B
D2,1,4,0,1,0,3,54,1,1,2,5,1,4,55,3,44,B
D2,0,4,1,4,1,12,84,0,2,1,3,0,6,50,0,45,A
D5,0,4,2,4,0,7,1,1,0,2,2,3,4,18,3,1,B
D5,1,2,0,3,1,12,3,1,3,1,1,2,4,45,3,2,B
D5,1,3,2,2,1,7,2,2,2,2,3,1,6,52,0,3,A
D5,0,3,2,1,3,2,52,3,2,2,3,1,1,36,2,4,A
D5,0,4,2,5,0,2,55,3,3,2,4,1,4,40,3,5,B
D5,1,3,0,4,1,11,69,3,2,0,3,0,4,10,1,6,B
D5,0,4,0,2,2,7,88,1,4,0,1,4,11,66,3,7,A
D5,0,1,2,4,1,10,74,2,1,1,3,0,7,49,3,8,B
D5,1,3,0,4,0,9,31,0,3,1,1,2,9,56,0,9,B
D5,1,3,1,0,3,10,20,2,1,2,0,0,7,8,1,10,A
D5,0,0,0,3,1,1,39,1,4,0,0,2,0,0,3,11,B
D5,0,3,1,0,5,3,77,0,0,1,5,1,8,25,2,12,A
D5,1,2,1,1,4,9,73,0,2,1,5,1,9,22,2,13,A
D5,1,2,0,3,0,9,66,0,1,2,2,0,11,60,0,14,B
D5,0,0,1,1,3,2,61,1,3,2,4,0,4,83,3,15,A
D5,0,1,1,0,1,2,3,0,2,2,1,1,1,28,1,16,A
D5,1,2,0,2,0,0,0,1,3,1,0,2,2,74,0,17,B
D5,0,0,2,1,3,5,30,2,2,1,2,2,4,29,0,18,A
D5,1,4,0,4,0,0,0,3,4,0,1,4,11,58,2,19,B
D5,0,0,0,2,1,8,76,1,1,2,0,0,9,25,3,20,B
D5,0,0,0,0,6,8,26,2,1,2,3,1,3,22,1,21,A
D5,1,4,1,2,0,2,75,1,1,0,2,1,8,90,0,22,B
D5,0,0,2,3,1,5,2,2,1,1,2,2,3,6,0,23,B
D5,1,3,0,2,3,7,69,3,2,0,0,2,9,54,1,24,B
D5,0,0,2,5,1,3,82,0,0,2,0,5,3,67,3,25,B
D5,1,0,1,3,0,5,71,3,4,0,4,0,3,70,1,26,B
D5,1,0,2,4,1,10,37,1,0,2,2,1,6,59,3,27,B
D5,1,2,1,5,0,12,68,1,2,1,1,3,3,81,3,28,B
D5,0,2,2,5,0,0,0,3,4,1,3,1,8,67,3,29,B
D5,1,0,2,3,1,4,43,2,3,1,2,3,12,68,1,30,B
D5,0,2,2,3,0,8,65,1,2,2,3,1,10,46,3,31,A
D5,0,3,0,5,1,0,0,2,4,2,1,0,9,51,3,32,B
D5,0,4,1,3,0,0,0,3,3,2,0,1,10,47,2,33,B
D5,1,1,2,3,1,11,31,3,4,2,0,1,8,18,2,34,B
D5,1,0,2,5,1,12,68,1,3,1,1,0,0,0,2,35,B
D5,1,3,1,1,4,12,67,1,3,1,5,1,12,23,0,36,A
D5,1,0,0,0,0,3,38,1,4,1,2,0,7,18,2,37,A
D5,0,1,1,3,0,11,6,0,0,1,2,2,11,27,1,38,B
D5,0,4,1,0,5,3,21,2,2,2,0,2,4,41,1,39,A
D5,0,1,0,1,0,3,48,3,0,1,5,1,4,71,3,40,A
D5,0,4,0,1,3,5,42,1,2,2,3,1,11,82,1,41,A
D5,1,1,0,1,4,3,46,3,1,2,0,5,7,31,2,42,B
D5,0,0,0,2,3,5,8,3,1,1,5,0,8,90,3,43,A
D5,1,0,1,0,2,10,79,3,2,2,1,2,6,1,3,44,A
D5,1,2,2,4,1,6,3,2,0,0,2,1,6,32,0,45,B
D5,1,1,2,0,3,8,22,0,2,2,5,0,11,5,1,46,A
D5,0,4,2,4,1,10,75,3,4,0,2,1,6,28,3,47,B
D5,0,2,1,1,0,6,85,0,2,2,2,0,5,44,0,48,A
D5,1,3,0,4,0,10,29,1,0,0,5,1,0,0,0,49,A
F1,0,2,0,0,6,11,78,2,2,0,0,3,5,25,1,1,A
F1,0,4,0,1,2,3,7,1,0,0,1,2,12,55,1,2,B
F1,1,3,1,3,1,5,31,3,3,2,1,0,5,72,1,3,A
