FOOD (incoming donation),,,SIZE (recipient organization size),,,ACCESS (clients' access to food),,,INCOME ( household median income of the clients’ neighborhood),,,POVERTY (percentage of people in poverty within the population of clients’ neighborhood),,,LAST DONATION (the last time the recipient organization received a donation from 412 Food Rescue),,, DONATION ( number of donations that the recipient has received in the last three months),,,DISTANCE (time it takes to transport donation from the donor to recipient),,
Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning,Indices,Image Name,Actual Value/Meaning
,,,,,,,,,,,,,,,,,,39,total-8-3-5,total of 8 donations = 3 common + 5 less common,,,
,,,,,,,,,,,,,,,,,,40,total-8-4-4,total of 8 donations = 4 common + 4 less common,,,
,,,,,,,,,,,,,,,,,,41,total-8-5-3,total of 8 donations = 5 common + 3 less common,,,
,,,,,,,,,,,,,,,,,,42,total-8-6-2,total of 8 donations = 6 common + 2 less common,,,
,,,,,,,,,,,,,,,,,,43,total-8-7-1,total of 8 donations = 7 common + 1 less common,,,
,,,,,,,,,,,,,,,,,,44,total-8-8-0,total of 8 donations = 8 common + 0 less common,,,
,,,,,,,,,,,,,,,,,,45,total-9-0-9,total of 9 donations = 0 common + 9 less common,,,
,,,,,,,,,,,,,,,,,,46,total-9-1-8,total of 9 donations = 1 common + 8 less common,,,
,,,,,,,,,,,,,,,,,,47,total-9-2-7,total of 9 donations = 2 common + 7 less common,,,
,,,,,,,,,,,,,,,,,,48,total-9-3-6,total of 9 donations = 3 common + 6 less common,,,
,,,,,,,,,,,,,,,,,,49,total-9-4-5,total of 9 donations = 4 common + 5 less common,,,
,,,,,,,,,,,,,,,,,,50,total-9-5-4,total of 9 donations = 5 common + 4 less common,,,
,,,,,,,,,,,,,,,,,,51,total-9-6-3,total of 9 donations = 6 common + 3 less common,,,
,,,,,,,,,,,,,,,,,,52,total-9-7-2,total of 9 donations = 7 common + 2 less common,,,
,,,,,,,,,,,,,,,,,,53,total-9-8-1,total of 9 donations = 8 common + 1 less common,,,
,,,,,,,,,,,,,,,,,,54,total-9-9-0,total of 9 donations = 9 common + 0 less common,,,
,,,,,,,,,,,,,,,,,,55,total-10-0-10,total of 10 donations = 0 common + 10 less common,,,
,,,,,,,,,,,,,,,,,,56,total-10-1-9,total of 10 donations = 1 common + 9 less common,,,
,,,,,,,,,,,,,,,,,,57,total-10-2-8,total of 10 donations = 2 common + 8 less common,,,
,,,,,,,,,,,,,,,,,,58,total-10-3-7,total of 10 donations = 3 common + 7 less common,,,
,,,,,,,,,,,,,,,,,,59,total-10-4-6,total of 10 donations = 4 common + 6 less common,,,
,,,,,,,,,,,,,,,,,,60,total-10-5-5,total of 10 donations = 5 common + 5 less common,,,
,,,,,,,,,,,,,,,,,,61,total-10-6-4,total of 10 donations = 6 common + 4 less common,,,
,,,,,,,,,,,,,,,,,,62,total-10-7-3,total of 10 donations = 7 common + 3 less common,,,
,,,,,,,,,,,,,,,,,,63,total-10-8-2,total of 10 donations = 8 common + 2 less common,,,
,,,,,,,,,,,,,,,,,,64,total-10-9-1,total of 10 donations = 9 common + 1 less common,,,
